Angles of attack,(0.0, 10.0, 1.0)
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
s9033.dat,0.07498,0.22847,0.805509405473,8.73,20.5975933223,5.58,0.0181216386964,0.0675,18.6159490098,13.7956618708,32.4116108805,ok
ht13.dat,0.065038,0.18991,0.792644932819,8.595,20.0442598317,5.4,0.017519523339,0.2025,18.1295178632,14.2697946264,32.3993124897,ok
ht12.dat,0.050228,0.186098,0.743876243401,8.65125,18.275053027,4.3425,0.0169688803615,0.3825,17.4336434144,14.7328518249,32.1664952393,ok
s9027.dat,0.08,0.22885,0.810373796477,8.80875,20.7964301967,5.67,0.0186530976774,0.0675,18.723165572,13.4025996284,32.1257652004,ok
s9032.dat,0.09,0.25008,0.820074530939,8.87625,21.3495006711,5.8725,0.0194112397086,0.1575,18.9793187626,12.8791361991,31.8584549617,ok
ht14.dat,0.07494,0.188377,0.824668117882,8.7075,20.5267025696,5.83875,0.0180092919482,0.10125,17.9459622093,13.881722875,31.8276850843,ok
rae101.dat,0.099938,0.3,0.769480127331,8.96625,21.7683525467,4.89375,0.0210329576913,0.135,19.8285060255,11.8861076825,31.714613708,ok
hq09.dat,0.08112,0.33933,0.729353541081,8.22375,20.3464381091,4.21875,0.0194013555949,0.18,18.8284753164,12.8856975368,31.7141728532,ok
hq07.dat,0.06998,0.33933,0.685866273427,7.86375,19.3303209641,3.65625,0.0182361780463,0.2025,17.9205271654,13.7090128954,31.6295400608,ok
naca0007_closed_te.dat,0.069986,0.308658,0.70868004529,8.0325,19.1505094745,3.87,0.0186060130565,0.14625,18.1125170573,13.436516423,31.5490334803,ok
ht08.dat,0.05002,0.201646,0.732719863935,8.46,17.8660382207,4.42125,0.0173211059615,0.315,17.1025820301,14.4332585087,31.5358405388,ok
rae100.dat,0.099956,0.26,0.795845743185,8.94375,21.5346039937,5.76,0.0207762005424,0.21375,19.4672406848,12.0329989831,31.5002396679,ok
s9026.dat,0.095,0.27273,0.82178949058,8.98875,21.4800890806,5.985,0.0200978254274,0.16875,19.0029959039,12.4391567089,31.4421526128,ok
n0009sm.dat,0.09018,0.30866,0.787575306735,8.8425,20.5924409692,5.09625,0.0206126351427,0.41625,19.2551686121,12.1284832468,31.3836518588,ok
sd8020.dat,0.10102,0.27523,0.789407604551,8.92125,21.630200501,5.83875,0.0213624576453,0.55125,19.5455451072,11.702773349,31.2483184561,ok
lwk79100.dat,0.09994,0.27886,0.826388237446,8.96625,21.9179585386,5.61375,0.0209804162477,0.23625,19.2816192205,11.915874168,31.1974933885,ok
s1010.dat,0.06022,0.23322,0.714400083023,7.9425,18.7788465488,5.1525,0.0182840191383,0.14625,17.3309673669,13.6731425464,31.0041099133,ok
ht05.dat,0.048136,0.170915,0.722197293323,8.33625,17.7959246536,4.3875,0.0177977094258,0.3825,16.9131230866,14.0467514116,30.9598744982,ok
bqm34.dat,0.098995,0.325268,0.791570514834,8.9325,20.7720744955,5.02875,0.0212471525149,0.3375,19.1404537372,11.7662825559,30.9067362931,ok
rae102.dat,0.099994,0.36,0.754701694613,8.94375,21.4964713167,4.6575,0.0217074459758,0.09,19.2771552502,11.5167855435,30.7939407937,ok
b540ols.dat,0.0971,0.22452,0.844685595226,8.85375,21.1623646954,6.06375,0.0198461872277,0.135,18.1318553374,12.5968780367,30.728733374,ok
hq010.dat,0.1,0.33933,0.795497140391,8.98875,21.4061033872,4.98375,0.0218016507638,0.16875,18.9524917959,11.4670215897,30.4195133856,ok
raf27.dat,0.0976,0.3,0.697202171089,8.69625,21.1742429248,4.5675,0.0225394516833,1.04625,19.2511717031,11.091662899,30.3428346021,ok
n0012.dat,0.1200344,0.3003177,0.806020617556,8.98875,21.482045572,6.1425,0.0234352078695,0.6525,18.9260658032,10.6677099428,29.593775746,ok
n63010a.dat,0.0999,0.35,0.72079806034,8.595,19.8110960505,4.26375,0.0217044837138,0.315,17.8520959752,11.5183573724,29.3704533476,ok
raf30md.dat,0.076,0.3,0.640819586444,7.555,18.0298859037,4.36,0.0198098364824,0.265,16.6586456159,12.6199931141,29.2786387301,ok
j5012.dat,0.12,0.34549,0.761124220189,8.98875,21.59014873,5.36625,0.0248200055987,1.54125,19.0738523816,10.0725198875,29.1463722691,ok
rae103.dat,0.09997,0.4,0.738779046636,8.83125,20.6700941787,4.62375,0.0228606060978,0.5625,18.1604421265,10.9358430363,29.0962851628,ok
joukowsk.dat,0.118,0.25,0.832191128992,8.9775,21.7905163657,6.66,0.0228829563036,0.10125,17.6994082469,10.9251617966,28.6245700435,ok
e168.dat,0.12442,0.26739,0.808172200155,8.92125,22.3045742022,6.84,0.0234857785061,0.12375,17.9592341608,10.644739749,28.6039739098,ok
fx71089a.dat,0.08936,0.22221,0.755198501313,8.6175,17.4788694623,5.49,0.0201228069144,0.315,16.1279192382,12.4237141003,28.5516333385,ok
lwk80080.dat,0.08062,0.40245,0.672697068194,7.61625,18.9833952699,4.10625,0.0214665005287,0.225,16.7544332142,11.6460528657,28.40048608,ok
nacam2.dat,0.0806,0.3,0.733003380932,8.42625,17.0372996533,5.09625,0.0198896696512,0.09,15.4777661997,12.5693389777,28.0471051774,ok
n63012a.dat,0.1199,0.35,0.7491875,9.0,20.6184818125,5.20875,0.0244117465821,0.09,17.6513248318,10.2409714585,27.8922962903,ok
stcyr172.dat,0.1356,0.3,0.713536062625,8.325,21.024662415,5.77125,0.02548454116,0.3375,18.0218778373,9.80986859565,27.831746433,ok
naca64a010.dat,0.099908002,0.4,0.708690226268,8.62875,19.1638629118,4.60125,0.0236329068035,0.30375,17.2454155906,10.5784701848,27.8238857754,ok
sc20010.dat,0.1,0.41,0.795922013487,8.96625,18.6353848309,5.8275,0.0227335798322,0.7425,16.7369772901,10.9969482081,27.7339254983,ok
e171.dat,0.12254,0.32389,0.729217116173,8.95875,22.3515236497,6.22625,0.0248061557972,0.24875,17.4872598718,10.0781435884,27.5654034602,ok
m2.dat,0.08,0.4,0.716308708374,8.30125,16.5275017045,4.56625,0.0201964065061,0.27125,15.1544055282,12.3784396954,27.5328452236,ok
e472.dat,0.12098,0.17462,0.78821861595,8.74125,19.2299849929,6.31125,0.0234501330164,0.4275,16.7514168764,10.6609203379,27.4123372143,ok
s8035.dat,0.14004,0.29111,0.7818,9.0,21.3806144769,6.68625,0.0259011904566,0.51125,17.6585209435,9.65206600906,27.3105869526,ok
m3.dat,0.119,0.3,0.75669936214,8.83,19.0541086887,5.04625,0.0243493406069,1.28125,17.0227366065,10.267218486,27.2899550925,ok
nacam3.dat,0.119,0.3,0.75669936214,8.83,19.0541086887,5.04625,0.0243493406069,1.28125,17.0227366065,10.267218486,27.2899550925,ok
fx71120.dat,0.11986,0.25,0.760794024387,8.74125,17.842666445,6.1875,0.0234904454522,0.52875,16.2887285121,10.6426249136,26.9313534257,ok
rae104.dat,0.1,0.42,0.724394519879,8.68,19.3769843811,4.89625,0.0245042075139,1.50375,16.6566382449,10.2023295329,26.8589677778,ok
m1.dat,0.0616,0.3,0.669133436753,7.73375,15.9737229967,4.855,0.0206143453949,0.80125,14.5818414143,12.1274770171,26.7093184314,ok
goe459.dat,0.127,0.3,0.69255,8.5,20.3268557004,5.68125,0.0274257322324,1.50625,17.5909704732,9.11552690305,26.7064973762,ok
e474.dat,0.14084,0.21517,0.778540545418,8.505,19.5689202602,6.48,0.0253882415045,0.43875,16.6401605162,9.84707822147,26.4872387377,ok
raf30.dat,0.1264,0.3,0.654701917667,8.6825,19.5528803754,5.8825,0.0264162994593,0.4025,16.9782977039,9.46385395068,26.4421516546,ok
goe443.dat,0.05,0.4,0.554188845368,6.9225,13.8219239709,3.70375,0.0177244332024,0.52875,12.306908237,14.1048233896,26.4117316266,ok
e475.dat,0.15,0.21656,0.779575389308,8.38125,19.9439043624,6.1425,0.0262737598712,0.36,16.8417201032,9.51519695793,26.3569170611,ok
s1048.dat,0.1397,0.26988,0.7739875,9.0,21.6700763942,6.8175,0.0260645895075,0.07875,16.5162966216,9.59155715567,26.1078537773,ok
e297.dat,0.11388,0.37684,0.7384,9.0,20.9593830628,5.81625,0.0257331637709,2.2275,16.2810156813,9.71508992154,25.9961056028,ok
goe444.dat,0.056,0.4,0.557986873226,6.78125,14.0093684096,3.7575,0.0185817898252,0.14,12.4722528145,13.4540322731,25.9262850876,ok
sc20012.dat,0.12,0.41,0.80185,9.0,18.7532830602,6.01875,0.0255733394712,2.39625,15.9434350713,9.77580578717,25.7192408584,ok
