Angles of attack,[0.0, 10.0, 1.0]
Reynolds numbers,[15000.0, 30000.0, 45000.0, 60000.0]
ncrits,[2.5, 3.0]

aoa_ld,[3.0, 4.0, 5.0]
inv_min_drag_scaling,0.25

dat file,thickness,max_thickness_x,avg_max_lift,avg_max_lift_angle,avg_max_lift_to_drag,avg_max_lift_to_drag_angle,avg_min_drag,avg_min_drag_angle,avg l/d at aoa_ld angles,(1/avg_min_drag) / divider,global score,status
gf_0001.dat,0.060912,0.238751,0.723210177499,8.62875,18.6974355669,4.21875,0.019686478342,0.495,17.8567351646,12.6990717008,30.5558068654,ok
fx77080.dat,0.08048,0.27886,0.765889020389,8.87625,19.8926056258,5.74875,0.0219733407528,0.495,18.2776391686,11.3774233428,29.6550625114,ok
gf_0002.dat,0.064624,0.273005,0.723946453759,8.62875,18.1431362569,4.5,0.0205757078796,0.495,17.3853795463,12.1502502593,29.5356298056,ok
naca0006.dat,0.06002,0.3,0.646226004046,8.62875,17.9764072566,4.005,0.0202634451095,0.86625,16.8951595877,12.3374874632,29.2326470509,ok
fx79l100.dat,0.10066,0.33928,0.72378210111,9.0,20.2602254556,4.48875,0.0244767077697,0.495,18.8483821689,10.2137919181,29.062174087,ok
s9033.dat,0.07498,0.22847,0.790612221078,8.7525,19.3052256868,5.76,0.0215382301973,0.495,17.4330116405,11.607267529,29.0402791695,ok
fx76100.dat,0.10066,0.27886,0.7644583058,9.0,19.9890846369,6.12,0.0236857558918,0.7425,18.3177917687,10.5548668635,28.8726586323,ok
ht12.dat,0.050205,0.186098,0.739369316729,8.87625,17.2438637092,4.275,0.0204032648284,0.495,16.5679568866,12.2529409927,28.8208978793,ok
s9027.dat,0.08,0.22885,0.792940001199,8.87625,19.266719851,5.895,0.0220718803921,0.495,17.4092567865,11.3266289758,28.7358857623,ok
ht13.dat,0.065008,0.18991,0.781064527584,8.7525,18.5626453109,5.265,0.0211715668168,0.495,16.88105057,11.8082899656,28.6893405356,ok
rae101.dat,0.099938,0.3,0.744641926562,9.0,19.7632361491,5.49,0.0242705167571,0.86625,18.310963955,10.3005635398,28.6115274947,ok
hq09.dat,0.08112,0.33933,0.717157657319,8.2575,18.766753236,4.75875,0.0228311224163,0.495,17.5367717474,10.949965378,28.4867371255,ok
naca0007_closed_te.dat,0.069986,0.308658,0.700385676747,8.2575,17.8443539606,4.5,0.0218059790571,0.495,17.0212892786,11.4647454877,28.4860347663,ok
ht14.dat,0.074905,0.188377,0.805609915646,8.87625,19.2031383419,5.8725,0.0216134302336,0.495,16.8868675126,11.5668821329,28.4537496456,ok
s9032.dat,0.09,0.25008,0.801003431975,8.87625,19.7070783885,6.13125,0.0228473348982,0.495,17.5084826403,10.9421952763,28.4506779167,ok
rae100.dat,0.099956,0.26,0.776424745483,9.0,19.8730396042,6.24375,0.0239902642965,0.495,17.9963529931,10.4208939473,28.4172469403,ok
hq07.dat,0.06998,0.33933,0.681919075234,8.2575,17.8375366536,3.76875,0.0217394254465,0.495,16.8409024416,11.4998439409,28.3407463826,ok
naca0007.dat,0.07,0.308658,0.711106084597,8.2575,17.6999213099,4.51125,0.0218611355743,0.495,16.8768575358,11.4358194774,28.3126770132,ok
n0009sm.dat,0.09018,0.30866,0.769702216193,8.87625,18.9936829548,5.49,0.0239139269846,0.61875,17.8357808214,10.4541592086,28.28994003,ok
rae102.dat,0.099994,0.36,0.727309896803,9.0,19.7361258807,4.48875,0.0249097880781,0.63,18.122891868,10.0362154514,28.1591073194,ok
s9026.dat,0.095,0.27273,0.806071919965,9.0,19.8486682382,6.39,0.0234922505191,0.61875,17.5043174958,10.6418071694,28.1461246652,ok
ht05.dat,0.048115,0.170915,0.724635770235,8.62875,17.0323332342,4.6125,0.0212132844924,0.495,16.3035858499,11.7850679884,28.0886538383,ok
ht08.dat,0.05,0.201646,0.731925606736,8.7525,16.7517627701,4.39875,0.0209312778962,0.495,16.1135850922,11.9438479218,28.0574330139,ok
sd8020.dat,0.10102,0.27523,0.768763942526,9.0,19.8121791606,6.37875,0.0248212275556,0.61875,17.934702541,10.0720240141,28.0067265552,ok
lwk79100.dat,0.09994,0.27886,0.808668360814,9.0,20.0229468438,6.01875,0.0241854897786,0.86625,17.5372767071,10.3367764014,27.8740531085,ok
bqm34.dat,0.098995,0.325268,0.7710721523,9.0,19.0336159429,5.5125,0.0246434659663,0.61875,17.5871154008,10.1446769031,27.7317923038,ok
hq010.dat,0.1,0.33933,0.770541812042,9.0,19.6030156697,5.5125,0.0249982128584,0.7425,17.707448569,10.0007149078,27.7081634767,ok
gf_topiko.dat,0.0606486,0.25,0.753481510732,8.505,16.7725998711,4.51125,0.0216254155926,0.495,16.1108052903,11.5604714707,27.6712767609,ok
s1010.dat,0.06022,0.23322,0.711403720265,8.13375,17.4772040864,5.14125,0.0219385740043,0.495,16.2522379621,11.3954535035,27.6476914656,ok
fx76120.dat,0.1207,0.27886,0.760838088351,8.87625,20.3550365542,6.255,0.0259228919415,0.86625,17.9305609515,9.64398573138,27.5745466828,ok
naca0008.dat,0.08002,0.3,0.722739293071,8.62875,17.6388535668,5.13,0.0227342969469,0.495,16.4885308896,10.9966013281,27.4851322177,ok
b540ols.dat,0.0971,0.22452,0.830613995561,8.87625,19.6489175116,6.26625,0.0234326460763,0.495,16.6455766752,10.6688761989,27.3144528741,ok
naca0010.dat,0.10004,0.3,0.751701508187,9.0,18.3727046481,5.63625,0.0244596331199,0.7425,16.8599166693,10.2209219073,27.0808385766,ok
raf27.dat,0.0976,0.3,0.670443798171,8.87625,18.8445299443,5.34375,0.0257978042232,1.7325,17.3416829156,9.69074723714,27.0324301527,ok
rae103.dat,0.09997,0.4,0.709648323407,9.0,19.0157341559,4.71375,0.0260238568757,0.63,17.1718619926,9.60656989445,26.7784318871,ok
n0012.dat,0.1200344,0.3003177,0.78932846525,9.0,19.8813069763,6.525,0.026711027745,1.2375,17.3825095359,9.35943020936,26.7419397452,ok
naca001034.dat,0.1,0.4,0.621528950233,8.01,18.458568104,3.99375,0.0246603449659,1.2375,16.5753248577,10.1377332858,26.7130581435,ok
goe445.dat,0.064,0.4,0.543492190147,7.39125,17.005236056,3.9825,0.020239402336,1.125,14.3536905299,12.3521434008,26.7058339307,ok
j5012.dat,0.12,0.34549,0.743217340232,9.0,19.6285070804,5.88375,0.0279692751434,1.85625,17.5559342824,8.93837965833,26.4943139407,ok
naca0005.dat,0.05,0.308658,0.686737671452,9.0,15.0314626262,3.88125,0.0205502034092,0.495,14.1134144539,12.1653297061,26.27874416,ok
naca0005_closed_te.dat,0.04999,0.308658,0.673631957945,9.0,14.990212247,3.8925,0.0206262676034,0.495,14.0396616009,12.1204672026,26.1601288036,ok
raf30md.dat,0.076,0.3,0.609829740608,7.7625,16.522848027,4.89375,0.0236248837974,0.7425,15.4587039433,10.5820626312,26.0407665746,ok
lwk80080.dat,0.08062,0.40245,0.665488111741,8.2575,17.6076770643,4.53375,0.0249882300853,0.86625,15.9199260307,10.0047101834,25.9246362141,ok
n63010a.dat,0.0999,0.35,0.670577214106,8.87625,17.1146375882,4.0275,0.0255262072535,0.495,15.8389464014,9.79385607575,25.6328024771,ok
m1.dat,0.0616,0.3,0.663295400291,8.38125,15.6673829204,4.7475,0.0229301774763,1.11375,14.6731796421,10.9026631067,25.5758427487,ok
fx79l120.dat,0.12068,0.33928,0.711097029932,9.0,19.3395725423,6.0075,0.0276914690411,0.765,16.5462040498,9.02805118895,25.5742552387,ok
e168.dat,0.12442,0.26739,0.787654098913,8.87625,20.6525594016,6.885,0.0265210176042,0.495,16.1395515508,9.42648595656,25.5660375074,ok
sc20010.dat,0.1,0.41,0.773927555609,9.0,17.4791032076,5.77125,0.0260626879436,1.11375,15.9356847405,9.59225696678,25.5279417073,ok
joukowsk.dat,0.118,0.25,0.827246925739,9.0,20.3332335704,7.00875,0.0259667219434,0.50625,15.8753682962,9.62770736118,25.5030756574,ok
naca64a010.dat,0.099908002,0.4,0.668619081313,9.0,17.4425939092,4.26375,0.0266653102242,0.495,16.1087441547,9.37547689858,25.4842210533,ok
n63012a.dat,0.1199,0.35,0.720027087929,9.0,18.5498691971,4.8825,0.0275803898024,0.86625,16.3957307902,9.06441140939,25.4601421996,ok
fx71089a.dat,0.08936,0.22221,0.748458689794,8.7525,16.4914295182,6.24375,0.0238593706163,0.61875,14.8983921003,10.4780634838,25.3764555841,ok
stcyr172.dat,0.1356,0.3,0.689289436248,8.62875,19.0676583279,6.01875,0.0284373524319,0.61875,16.2923196024,8.79125441087,25.0835740132,ok
nacam2.dat,0.0806,0.3,0.723422014157,8.62875,15.9575724992,5.38875,0.0239628510281,0.495,14.5511838566,10.4328153485,24.9839992051,ok
rae104.dat,0.1,0.42,0.692841584026,9.0,17.7556277184,4.7475,0.0276395409853,1.485,15.751954881,9.04501272772,24.7969676087,ok
m2.dat,0.08,0.4,0.704283647742,8.505,15.4595260052,5.13,0.0239626690643,0.495,14.3325101638,10.4328945715,24.7654047353,ok
goe443.dat,0.05,0.4,0.535633385872,7.6275,13.4535176278,4.005,0.0191701796386,1.11375,11.7070746458,13.0410880186,24.7481626645,ok
nacam3.dat,0.119,0.3,0.734393670012,9.0,17.3561811955,5.76,0.0276307318688,1.13625,15.6131159789,9.04789642153,24.6610124004,ok
m3.dat,0.119,0.3,0.734393670012,9.0,17.3561811955,5.76,0.0276307318688,1.13625,15.6131159789,9.04789642153,24.6610124004,ok
s8035.dat,0.14004,0.29111,0.771876200994,9.0,20.0720339766,7.02,0.0288513768431,0.8775,15.9706505119,8.66509773033,24.6357482422,ok
e171.dat,0.12254,0.32389,0.720381718987,9.0,19.7504867105,6.62625,0.0279058179439,0.765,15.6645888566,8.95870533172,24.6232941883,ok
e472.dat,0.12098,0.17462,0.77381668997,8.87625,17.9668703156,6.39,0.027360648277,0.61875,15.4567192472,9.13721040047,24.5939296476,ok
n64012a.dat,0.11986,0.4,0.716476356099,9.0,17.7828443055,5.41125,0.0280198600605,1.11375,15.5496890491,8.92224298981,24.4719320389,ok
fx71120.dat,0.11986,0.25,0.727639488325,8.87625,16.5990435129,6.37875,0.0268366867962,0.61875,14.9868990307,9.31560597992,24.3025050107,ok
goe459.dat,0.127,0.3,0.713135129052,9.0,18.5971104332,6.39,0.0304748193495,1.98,15.9078609308,8.20349407597,24.1113550067,ok
e297.dat,0.11388,0.37684,0.704644113935,9.0,18.8553276734,6.255,0.0288239629994,2.475,15.2328127145,8.67333891613,23.9061516306,ok
raf30.dat,0.1264,0.3,0.667266527637,9.0,17.9400845062,6.24375,0.029329332942,1.24875,15.3700394833,8.52388973505,23.8939292183,ok
