mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.048170,0.017330,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.075200,0.048610,0.017930,0.001300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.179500,0.050790,0.020620,-0.003300,0.824600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.299700,0.054790,0.025080,-0.008000,0.637500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.398500,0.060160,0.031020,-0.008700,0.511200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.478100,0.067210,0.038890,-0.008300,0.406500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.536100,0.076420,0.049710,-0.008300,0.313800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.576800,0.087770,0.061600,-0.009600,0.250200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.595500,0.101070,0.075000,-0.012900,0.204800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.611300,0.115210,0.089030,-0.017100,0.172200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.627000,0.129780,0.103670,-0.021900,0.147500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.645100,0.144500,0.118350,-0.027200,0.129600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.666000,0.159080,0.132890,-0.032800,0.113900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.689300,0.173930,0.147700,-0.038900,0.103000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.713900,0.188520,0.162330,-0.045300,0.092100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.739300,0.202760,0.176480,-0.052500,0.083800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,0.000000,0.033850,0.012890,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.123900,0.035000,0.013440,-0.004600,0.699300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.232800,0.036950,0.014950,-0.004400,0.562200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.331500,0.039660,0.017560,-0.002500,0.459400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.425400,0.043200,0.021550,-0.000900,0.364200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.512500,0.047860,0.026890,0.000800,0.272300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.589100,0.054290,0.034740,0.001900,0.196700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.646900,0.063830,0.045270,0.000600,0.144100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.670800,0.078000,0.060240,-0.004300,0.114700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.664200,0.096860,0.079010,-0.013800,0.096300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.664800,0.114530,0.096540,-0.021400,0.083600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.668600,0.131670,0.113540,-0.028700,0.072700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.682100,0.147530,0.129300,-0.034900,0.064200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.699700,0.163200,0.144920,-0.041400,0.057000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.718800,0.178840,0.160530,-0.048800,0.050500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.745300,0.193430,0.175030,-0.055500,0.045000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,-0.000000,0.028550,0.010770,-0.000000,0.736200,0.736200,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.132600,0.029160,0.010850,-0.003300,0.574900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.232300,0.030750,0.011860,-0.001200,0.477700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.331700,0.032820,0.013860,0.000600,0.394700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.428800,0.035480,0.016780,0.002300,0.304200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.522100,0.039060,0.020740,0.003900,0.219600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.607700,0.044110,0.026830,0.004900,0.149800,1.000000,['poor_input_coordinate_distribution']
