mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.067740,0.038080,-0.000000,0.705300,0.705300,[]
0.00,1.00,5000.0,1.00,0.078900,0.068340,0.038710,-0.001600,0.632100,0.793900,[]
0.00,1.00,5000.0,2.00,0.161800,0.070140,0.040500,-0.004900,0.569400,0.914700,[]
0.00,1.00,5000.0,3.00,0.205700,0.073120,0.043060,-0.003600,0.516300,1.000000,[]
0.00,1.00,5000.0,4.00,0.228400,0.077330,0.046670,0.000700,0.479700,1.000000,[]
0.00,1.00,5000.0,5.00,0.263700,0.082390,0.051260,0.003500,0.438100,1.000000,[]
0.00,1.00,5000.0,6.00,0.300900,0.088680,0.057740,0.004700,0.403900,1.000000,[]
0.00,1.00,5000.0,7.00,0.332400,0.096040,0.064920,0.004800,0.374100,1.000000,[]
0.00,1.00,5000.0,8.00,0.369200,0.103740,0.072540,0.004400,0.337600,1.000000,[]
0.00,1.00,5000.0,9.00,0.402400,0.112930,0.081920,0.002500,0.314900,1.000000,[]
0.00,1.00,5000.0,10.00,0.429400,0.121770,0.090850,0.000600,0.279000,1.000000,[]
0.00,1.00,5000.0,11.00,0.467500,0.132610,0.102030,-0.002400,0.262700,1.000000,[]
0.00,1.00,5000.0,12.00,0.488600,0.142440,0.112570,-0.005700,0.230100,1.000000,[]
0.00,1.00,5000.0,13.00,0.526600,0.154920,0.125460,-0.009700,0.218300,1.000000,[]
0.00,1.00,5000.0,14.00,0.544600,0.165830,0.136570,-0.014300,0.190000,1.000000,[]
0.00,1.00,5000.0,15.00,0.579300,0.179550,0.150740,-0.018800,0.179000,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.048530,0.026180,0.000000,0.556900,0.556900,[]
0.00,1.00,10000.0,1.00,0.078800,0.048920,0.026620,0.002700,0.505500,0.617000,[]
0.00,1.00,10000.0,2.00,0.155400,0.050280,0.028230,0.004600,0.464200,0.690800,[]
0.00,1.00,10000.0,3.00,0.233100,0.052540,0.030770,0.005300,0.418700,0.786400,[]
0.00,1.00,10000.0,4.00,0.315500,0.056130,0.034600,0.003100,0.387700,0.929800,[]
0.00,1.00,10000.0,5.00,0.353900,0.061010,0.039590,0.005400,0.352100,1.000000,[]
0.00,1.00,10000.0,6.00,0.367000,0.068150,0.046480,0.007400,0.318500,1.000000,[]
0.00,1.00,10000.0,7.00,0.401000,0.075490,0.053670,0.007800,0.293600,1.000000,[]
0.00,1.00,10000.0,8.00,0.430000,0.083430,0.061610,0.007500,0.257900,1.000000,[]
0.00,1.00,10000.0,9.00,0.449000,0.094010,0.072270,0.004700,0.238800,1.000000,[]
