mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.054690,0.024910,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.037100,0.055220,0.025510,0.006500,0.990800,1.000000,[]
0.00,1.00,5000.0,2.00,0.128100,0.057370,0.027920,0.003700,0.844600,1.000000,[]
0.00,1.00,5000.0,3.00,0.218200,0.060670,0.031700,0.002900,0.680300,1.000000,[]
0.00,1.00,5000.0,4.00,0.307500,0.065120,0.036660,0.004200,0.505000,1.000000,[]
0.00,1.00,5000.0,5.00,0.382200,0.071030,0.042510,0.007400,0.370300,1.000000,[]
0.00,1.00,5000.0,6.00,0.423300,0.079020,0.050270,0.011000,0.285800,1.000000,[]
0.00,1.00,5000.0,7.00,0.443700,0.089200,0.060290,0.012200,0.234300,1.000000,[]
0.00,1.00,5000.0,8.00,0.460400,0.100790,0.071520,0.011000,0.201700,1.000000,[]
0.00,1.00,5000.0,9.00,0.474800,0.112950,0.083340,0.008600,0.178500,1.000000,[]
0.00,1.00,5000.0,10.00,0.492900,0.125270,0.095400,0.005600,0.163100,1.000000,[]
0.00,1.00,5000.0,11.00,0.515100,0.137270,0.107300,0.002500,0.147300,1.000000,[]
0.00,1.00,5000.0,12.00,0.535800,0.150200,0.120390,-0.001800,0.141700,1.000000,[]
0.00,1.00,5000.0,13.00,0.557300,0.162470,0.132670,-0.006200,0.130000,1.000000,[]
0.00,1.00,5000.0,14.00,0.583200,0.175030,0.145210,-0.010700,0.121300,1.000000,[]
0.00,1.00,5000.0,15.00,0.608100,0.188250,0.158590,-0.016000,0.118600,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.039810,0.019420,-0.000000,0.900900,0.900900,[]
0.00,1.00,10000.0,1.00,0.131600,0.040240,0.019940,-0.006900,0.780900,1.000000,[]
0.00,1.00,10000.0,2.00,0.227500,0.041280,0.021050,-0.005200,0.624600,1.000000,[]
0.00,1.00,10000.0,3.00,0.319400,0.043170,0.022570,-0.000200,0.433500,1.000000,[]
0.00,1.00,10000.0,4.00,0.388700,0.046470,0.024920,0.007000,0.286200,1.000000,[]
0.00,1.00,10000.0,5.00,0.446200,0.051040,0.028980,0.013200,0.203100,1.000000,[]
0.00,1.00,10000.0,6.00,0.497700,0.056940,0.035110,0.017800,0.160100,1.000000,[]
0.00,1.00,10000.0,7.00,0.533900,0.064960,0.043620,0.020700,0.134400,1.000000,[]
0.00,1.00,10000.0,8.00,0.548700,0.075350,0.054410,0.022000,0.124100,1.000000,[]
0.00,1.00,10000.0,9.00,0.525600,0.092640,0.071700,0.015400,0.110300,1.000000,[]
0.00,1.00,10000.0,10.00,0.532200,0.106620,0.085440,0.011100,0.102600,1.000000,[]
0.00,1.00,10000.0,11.00,0.537700,0.121550,0.100320,0.005600,0.099100,1.000000,[]
0.00,1.00,10000.0,12.00,0.548500,0.135080,0.114000,0.000400,0.089600,1.000000,[]
0.00,1.00,10000.0,13.00,0.570200,0.147620,0.126480,-0.003800,0.083500,1.000000,[]
0.00,1.00,10000.0,14.00,0.591900,0.161240,0.140220,-0.009000,0.082400,1.000000,[]
0.00,1.00,10000.0,15.00,0.615000,0.174930,0.154050,-0.014600,0.081300,1.000000,[]
0.00,1.00,15000.0,0.00,0.000000,0.032850,0.016110,-0.000000,0.809100,0.809100,[]
0.00,1.00,15000.0,1.00,0.138500,0.033060,0.016290,-0.005000,0.683500,0.899700,[]
0.00,1.00,15000.0,2.00,0.264800,0.033900,0.016630,-0.006200,0.489500,0.971200,[]
0.00,1.00,15000.0,3.00,0.344700,0.036080,0.017690,-0.000300,0.309500,1.000000,[]
0.00,1.00,15000.0,4.00,0.404200,0.039220,0.019880,0.007000,0.196700,1.000000,[]
0.00,1.00,15000.0,5.00,0.465100,0.042970,0.023280,0.012900,0.143900,1.000000,[]
0.00,1.00,15000.0,6.00,0.525000,0.047570,0.028160,0.018100,0.121700,1.000000,[]
0.00,1.00,15000.0,7.00,0.576100,0.053490,0.034610,0.022400,0.104300,1.000000,[]
0.00,1.00,15000.0,8.00,0.605700,0.062540,0.044580,0.025000,0.095900,1.000000,[]
0.00,1.00,15000.0,9.00,0.589600,0.076790,0.059510,0.023300,0.088900,1.000000,[]
0.00,1.00,15000.0,10.00,0.559100,0.096690,0.079330,0.014000,0.080100,1.000000,[]
0.00,1.00,15000.0,11.00,0.552200,0.113360,0.096100,0.007300,0.076100,1.000000,[]
0.00,1.00,15000.0,12.00,0.561400,0.127890,0.110630,0.002000,0.074800,1.000000,[]
0.00,1.00,15000.0,13.00,0.577300,0.141810,0.124620,-0.003000,0.073800,1.000000,[]
0.00,1.00,15000.0,14.00,0.597100,0.155630,0.138540,-0.008300,0.072900,1.000000,[]
0.00,1.00,15000.0,15.00,0.621400,0.168260,0.151260,-0.013100,0.067700,1.000000,[]
0.00,1.00,20000.0,0.00,-0.000000,0.028580,0.013760,-0.000000,0.753300,0.753300,[]
0.00,1.00,20000.0,1.00,0.137500,0.028780,0.013750,-0.003100,0.612600,0.845200,[]
0.00,1.00,20000.0,2.00,0.255500,0.029820,0.013910,-0.002500,0.413800,0.916300,[]
0.00,1.00,20000.0,3.00,0.349100,0.032230,0.015110,-0.000200,0.236000,0.983600,[]
0.00,1.00,20000.0,4.00,0.417100,0.035120,0.017220,0.005200,0.147700,1.000000,[]
0.00,1.00,20000.0,5.00,0.481400,0.038270,0.020380,0.011400,0.118400,1.000000,[]
0.00,1.00,20000.0,6.00,0.543900,0.042130,0.024370,0.017000,0.098600,1.000000,[]
0.00,1.00,20000.0,7.00,0.601600,0.047090,0.029840,0.022100,0.088500,1.000000,[]
0.00,1.00,20000.0,8.00,0.644000,0.053980,0.037460,0.026000,0.078200,1.000000,[]
0.00,1.00,20000.0,9.00,0.643500,0.065370,0.049990,0.028000,0.072800,1.000000,[]
0.00,1.00,20000.0,10.00,0.592900,0.087520,0.072590,0.018300,0.071000,1.000000,[]
0.00,1.00,20000.0,11.00,0.576200,0.106160,0.091190,0.010400,0.069700,1.000000,[]
0.00,1.00,20000.0,12.00,0.579600,0.121610,0.106650,0.004600,0.068900,1.000000,[]
0.00,1.00,20000.0,13.00,0.592200,0.136030,0.121120,-0.000700,0.068200,1.000000,[]
0.00,1.00,20000.0,14.00,0.607900,0.150250,0.135390,-0.006400,0.065800,1.000000,[]
0.00,1.00,20000.0,15.00,0.618400,0.164910,0.150140,-0.013600,0.057200,1.000000,[]
0.00,1.00,25000.0,0.00,-0.000000,0.025640,0.011980,0.000000,0.712000,0.712000,[]
0.00,1.00,25000.0,1.00,0.134000,0.025930,0.011850,-0.001600,0.549500,0.807500,[]
0.00,1.00,25000.0,2.00,0.245500,0.027180,0.012140,-0.000200,0.359300,0.881800,[]
0.00,1.00,25000.0,3.00,0.340800,0.029600,0.013390,0.001400,0.189600,0.947800,[]
0.00,1.00,25000.0,4.00,0.429200,0.032290,0.015470,0.003400,0.122700,1.000000,[]
0.00,1.00,25000.0,5.00,0.495200,0.035030,0.018270,0.009800,0.099400,1.000000,[]
0.00,1.00,25000.0,6.00,0.559000,0.038390,0.021760,0.015800,0.085100,1.000000,[]
0.00,1.00,25000.0,7.00,0.622600,0.042650,0.026530,0.020800,0.073500,1.000000,[]
0.00,1.00,25000.0,8.00,0.673300,0.048400,0.033090,0.025700,0.069700,1.000000,[]
0.00,1.00,25000.0,9.00,0.694600,0.056670,0.042120,0.030200,0.068100,1.000000,[]
0.00,1.00,25000.0,10.00,0.665600,0.071650,0.057910,0.028200,0.067100,1.000000,[]
0.00,1.00,25000.0,11.00,0.606000,0.098290,0.084780,0.014300,0.066100,1.000000,[]
0.00,1.00,25000.0,12.00,0.595300,0.116540,0.103070,0.006600,0.065500,1.000000,[]
0.00,1.00,25000.0,13.00,0.600900,0.132320,0.118930,0.000500,0.065100,1.000000,[]
0.00,1.00,25000.0,14.00,0.605500,0.148090,0.134790,-0.006900,0.057300,1.000000,[]
0.00,1.00,25000.0,15.00,0.625400,0.161560,0.148350,-0.012400,0.053700,1.000000,[]
0.00,1.00,30000.0,0.00,-0.000000,0.023480,0.010580,0.000000,0.675700,0.675700,[]
0.00,1.00,30000.0,1.00,0.127400,0.023920,0.010450,-0.000100,0.499900,0.779800,[]
0.00,1.00,30000.0,2.00,0.234600,0.025290,0.010870,0.001700,0.318000,0.856100,[]
0.00,1.00,30000.0,3.00,0.334200,0.027660,0.012140,0.002600,0.156000,0.922400,[]
0.00,1.00,30000.0,4.00,0.432400,0.030000,0.014120,0.003300,0.107600,0.983300,[]
0.00,1.00,30000.0,5.00,0.507500,0.032640,0.016720,0.008100,0.084500,1.000000,[]
0.00,1.00,30000.0,6.00,0.577000,0.035570,0.019900,0.013800,0.071700,1.000000,[]
0.00,1.00,30000.0,7.00,0.641400,0.039360,0.024060,0.019400,0.068100,1.000000,[]
0.00,1.00,30000.0,8.00,0.696600,0.044300,0.029630,0.024900,0.066400,1.000000,[]
0.00,1.00,30000.0,9.00,0.730500,0.051330,0.037450,0.030200,0.065200,1.000000,[]
0.00,1.00,30000.0,10.00,0.710600,0.063720,0.050750,0.032300,0.064300,1.000000,[]
0.00,1.00,30000.0,11.00,0.624400,0.093450,0.081110,0.016500,0.063600,1.000000,[]
0.00,1.00,30000.0,12.00,0.603600,0.113640,0.101330,0.007500,0.063100,1.000000,[]
0.00,1.00,30000.0,13.00,0.603600,0.130340,0.118110,0.000600,0.061600,1.000000,[]
0.00,1.00,30000.0,14.00,0.613700,0.144720,0.132540,-0.005700,0.053700,1.000000,[]
0.00,1.00,30000.0,15.00,0.634800,0.157890,0.145800,-0.010800,0.051600,1.000000,[]
0.00,1.00,35000.0,0.00,0.000000,0.021860,0.009400,-0.000000,0.641400,0.641400,[]
0.00,1.00,35000.0,1.00,0.119400,0.022410,0.009390,0.001400,0.463600,0.756100,[]
0.00,1.00,35000.0,2.00,0.225900,0.023860,0.009920,0.003100,0.283000,0.836300,[]
0.00,1.00,35000.0,3.00,0.329500,0.026120,0.011190,0.003400,0.134000,0.903600,[]
0.00,1.00,35000.0,4.00,0.431800,0.028260,0.013010,0.003700,0.091100,0.963000,[]
0.00,1.00,35000.0,5.00,0.522500,0.030660,0.015510,0.006000,0.071900,1.000000,[]
0.00,1.00,35000.0,6.00,0.592100,0.033390,0.018420,0.012000,0.067100,1.000000,[]
0.00,1.00,35000.0,7.00,0.658700,0.036810,0.022180,0.017900,0.065300,1.000000,[]
0.00,1.00,35000.0,8.00,0.718300,0.041280,0.027330,0.023700,0.063900,1.000000,[]
0.00,1.00,35000.0,9.00,0.759500,0.047480,0.034260,0.029500,0.062800,1.000000,[]
0.00,1.00,35000.0,10.00,0.752800,0.057400,0.045010,0.034600,0.062100,1.000000,[]
0.00,1.00,35000.0,11.00,0.652100,0.086740,0.075260,0.020200,0.061600,1.000000,[]
0.00,1.00,35000.0,12.00,0.613500,0.110660,0.099250,0.008700,0.061200,1.000000,[]
0.00,1.00,35000.0,13.00,0.608900,0.127980,0.116630,0.001200,0.057700,1.000000,[]
0.00,1.00,35000.0,14.00,0.623900,0.141240,0.129930,-0.004100,0.052100,1.000000,[]
0.00,1.00,35000.0,15.00,0.635100,0.156900,0.145670,-0.010900,0.050000,1.000000,[]
0.00,1.00,40000.0,0.00,0.000000,0.020640,0.008420,-0.000000,0.606800,0.606800,[]
0.00,1.00,40000.0,1.00,0.111400,0.021200,0.008560,0.002700,0.434600,0.735600,[]
0.00,1.00,40000.0,2.00,0.218000,0.022710,0.009160,0.004300,0.254300,0.819200,[]
0.00,1.00,40000.0,3.00,0.325200,0.024850,0.010420,0.004100,0.117900,0.887900,[]
0.00,1.00,40000.0,4.00,0.432000,0.026870,0.012130,0.003900,0.077200,0.945700,[]
0.00,1.00,40000.0,5.00,0.532800,0.029080,0.014480,0.004600,0.066800,0.996400,[]
0.00,1.00,40000.0,6.00,0.606600,0.031580,0.017220,0.010300,0.064600,1.000000,[]
0.00,1.00,40000.0,7.00,0.674900,0.034720,0.020730,0.016400,0.063100,1.000000,[]
0.00,1.00,40000.0,8.00,0.737200,0.038800,0.025440,0.022400,0.061900,1.000000,[]
0.00,1.00,40000.0,9.00,0.784200,0.044330,0.031620,0.028500,0.061000,1.000000,[]
0.00,1.00,40000.0,10.00,0.790200,0.052570,0.040620,0.035300,0.060400,1.000000,[]
0.00,1.00,40000.0,11.00,0.705000,0.075320,0.064390,0.027500,0.060000,1.000000,[]
0.00,1.00,40000.0,12.00,0.625100,0.107510,0.096820,0.010100,0.059700,1.000000,[]
0.00,1.00,40000.0,13.00,0.618600,0.124910,0.114260,0.002500,0.055100,1.000000,[]
0.00,1.00,40000.0,14.00,0.630500,0.138870,0.128230,-0.003200,0.051000,1.000000,[]
0.00,1.00,40000.0,15.00,0.635800,0.156020,0.145520,-0.010900,0.048400,1.000000,[]
0.00,1.00,45000.0,0.00,-0.000000,0.019730,0.007620,0.000000,0.571100,0.571100,[]
0.00,1.00,45000.0,1.00,0.104400,0.020220,0.007880,0.003800,0.409400,0.718300,[]
0.00,1.00,45000.0,2.00,0.209800,0.021740,0.008530,0.005500,0.227300,0.804700,[]
