mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000800,0.065920,0.031560,-0.000200,0.813300,0.813000,[]
0.00,1.00,5000.0,1.00,0.071600,0.066310,0.032040,-0.000300,0.776200,0.858400,[]
0.00,1.00,5000.0,2.00,0.141400,0.067440,0.033560,-0.000700,0.740900,0.912600,[]
0.00,1.00,5000.0,3.00,0.205100,0.069240,0.036130,-0.000700,0.700600,0.995100,[]
0.00,1.00,5000.0,4.00,0.244800,0.071950,0.039090,0.003700,0.662800,0.999500,[]
0.00,1.00,5000.0,5.00,0.283600,0.075550,0.043100,0.007300,0.621200,0.999500,[]
0.00,1.00,5000.0,6.00,0.329900,0.080260,0.048830,0.009100,0.574000,0.999500,[]
0.00,1.00,5000.0,7.00,0.369700,0.085770,0.055170,0.010600,0.511500,0.999500,[]
0.00,1.00,5000.0,8.00,0.410500,0.092670,0.063020,0.010800,0.446000,0.999500,[]
0.00,1.00,5000.0,9.00,0.448600,0.100880,0.072160,0.010000,0.374400,0.999500,[]
0.00,1.00,5000.0,10.00,0.484900,0.110470,0.082790,0.008500,0.305300,0.999500,[]
0.00,1.00,5000.0,11.00,0.514500,0.121700,0.094610,0.005700,0.249100,0.999500,[]
0.00,1.00,5000.0,12.00,0.537800,0.134420,0.107800,0.001400,0.208000,0.999500,[]
0.00,1.00,5000.0,13.00,0.564000,0.147920,0.121710,-0.003300,0.176200,0.999500,[]
0.00,1.00,5000.0,14.00,0.587600,0.161990,0.136090,-0.008800,0.150200,0.999500,[]
0.00,1.00,5000.0,15.00,0.608400,0.176560,0.151190,-0.015200,0.129200,0.999500,[]
0.00,1.00,10000.0,0.00,0.001600,0.049070,0.024150,-0.000300,0.694100,0.694000,[]
0.00,1.00,10000.0,1.00,0.071400,0.049310,0.024380,0.002100,0.664900,0.720600,[]
0.00,1.00,10000.0,2.00,0.139500,0.050210,0.025580,0.004500,0.633900,0.749300,[]
0.00,1.00,10000.0,3.00,0.208000,0.051860,0.027950,0.006300,0.603000,0.781600,[]
0.00,1.00,10000.0,4.00,0.276500,0.054130,0.030890,0.007600,0.568600,0.829000,[]
0.00,1.00,10000.0,5.00,0.331700,0.057340,0.035090,0.008800,0.522700,0.894300,[]
0.00,1.00,10000.0,6.00,0.385500,0.060880,0.039310,0.010200,0.466500,0.999500,[]
0.00,1.00,10000.0,7.00,0.429100,0.066200,0.045340,0.011400,0.406300,0.999500,[]
0.00,1.00,10000.0,8.00,0.478000,0.072210,0.052070,0.012000,0.332300,0.999500,[]
0.00,1.00,10000.0,9.00,0.523100,0.079450,0.060250,0.012100,0.252700,0.999500,[]
0.00,1.00,10000.0,10.00,0.565700,0.088290,0.069680,0.011300,0.196700,0.999500,[]
0.00,1.00,10000.0,11.00,0.590400,0.100560,0.082350,0.008200,0.156400,0.999500,[]
0.00,1.00,10000.0,12.00,0.606000,0.114560,0.096640,0.003600,0.124600,0.999500,[]
0.00,1.00,10000.0,13.00,0.612500,0.131510,0.113780,-0.003500,0.106200,0.999500,[]
0.00,1.00,10000.0,14.00,0.621500,0.147850,0.130460,-0.010900,0.087200,0.999500,[]
0.00,1.00,10000.0,15.00,0.634100,0.164300,0.146970,-0.018700,0.073300,0.999500,[]
0.00,1.00,15000.0,0.00,0.002400,0.040460,0.019440,-0.000400,0.648300,0.648300,[]
0.00,1.00,15000.0,1.00,0.080800,0.040750,0.019830,0.001600,0.621600,0.673700,[]
0.00,1.00,15000.0,2.00,0.160100,0.041540,0.020880,0.003200,0.597100,0.693900,[]
0.00,1.00,15000.0,3.00,0.234900,0.042990,0.022920,0.004900,0.568200,0.721300,[]
0.00,1.00,15000.0,4.00,0.304600,0.045210,0.025770,0.006600,0.534000,0.747800,[]
0.00,1.00,15000.0,5.00,0.360300,0.048270,0.029800,0.008800,0.481000,0.783500,[]
0.00,1.00,15000.0,6.00,0.420900,0.051780,0.034180,0.010300,0.426200,0.840500,[]
0.00,1.00,15000.0,7.00,0.479300,0.055910,0.039220,0.010900,0.357600,0.999500,[]
0.00,1.00,15000.0,8.00,0.547000,0.059230,0.043310,0.013300,0.273900,0.999500,[]
0.00,1.00,15000.0,9.00,0.605700,0.064370,0.048890,0.015000,0.202600,0.999500,[]
0.00,1.00,15000.0,10.00,0.650100,0.071680,0.056460,0.015700,0.154000,0.999500,[]
0.00,1.00,15000.0,11.00,0.667400,0.083640,0.068900,0.012800,0.116600,0.999500,[]
0.00,1.00,15000.0,12.00,0.666900,0.100500,0.086250,0.006600,0.098400,0.999500,[]
0.00,1.00,15000.0,13.00,0.652800,0.121090,0.107160,-0.002600,0.079000,0.999500,[]
0.00,1.00,15000.0,14.00,0.648800,0.140050,0.126130,-0.011400,0.063000,0.999500,[]
0.00,1.00,15000.0,15.00,0.654500,0.158810,0.144990,-0.020000,0.057200,0.999500,[]
0.00,1.00,20000.0,0.00,0.003100,0.035050,0.016290,-0.000600,0.622400,0.622300,[]
0.00,1.00,20000.0,1.00,0.090900,0.035320,0.016680,0.000500,0.601100,0.647300,[]
0.00,1.00,20000.0,2.00,0.176200,0.036100,0.017780,0.001600,0.576100,0.668600,[]
0.00,1.00,20000.0,3.00,0.258200,0.037480,0.019740,0.002800,0.548400,0.686100,[]
0.00,1.00,20000.0,4.00,0.331300,0.039630,0.022510,0.004300,0.510400,0.711800,[]
0.00,1.00,20000.0,5.00,0.404400,0.041900,0.025600,0.006100,0.461400,0.736400,[]
0.00,1.00,20000.0,6.00,0.467100,0.045260,0.029840,0.007900,0.406500,0.769000,[]
0.00,1.00,20000.0,7.00,0.537700,0.047480,0.032870,0.011200,0.326400,0.825600,[]
0.00,1.00,20000.0,8.00,0.609600,0.049640,0.035510,0.014700,0.230100,0.999500,[]
0.00,1.00,20000.0,9.00,0.661800,0.054930,0.040680,0.016700,0.167100,0.999500,[]
0.00,1.00,20000.0,10.00,0.696200,0.063000,0.049010,0.016600,0.121600,0.999500,[]
0.00,1.00,20000.0,11.00,0.723500,0.072990,0.059900,0.015200,0.100100,0.999500,[]
0.00,1.00,20000.0,12.00,0.726800,0.087350,0.075010,0.010600,0.077900,0.999500,[]
0.00,1.00,20000.0,13.00,0.700800,0.109120,0.097280,0.000600,0.061900,0.999500,[]
0.00,1.00,20000.0,14.00,0.675500,0.133940,0.122180,-0.010800,0.055100,0.999500,[]
