mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.044310,0.008810,-0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.091300,0.044570,0.009540,0.000800,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.178400,0.045430,0.011920,0.001600,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.267300,0.047380,0.016160,0.000300,0.927800,1.000000,[]
0.00,1.00,5000.0,4.00,0.402000,0.052240,0.024450,-0.007500,0.706900,1.000000,[]
0.00,1.00,5000.0,5.00,0.509700,0.059650,0.035110,-0.006600,0.430200,1.000000,[]
0.00,1.00,5000.0,6.00,0.580000,0.070070,0.046030,-0.001100,0.201000,1.000000,[]
0.00,1.00,5000.0,7.00,0.628200,0.084270,0.061220,-0.003400,0.131700,1.000000,[]
0.00,1.00,5000.0,8.00,0.649400,0.100980,0.078250,-0.010600,0.105900,1.000000,[]
0.00,1.00,5000.0,9.00,0.657000,0.117850,0.094820,-0.018600,0.092000,1.000000,[]
0.00,1.00,5000.0,10.00,0.668900,0.134240,0.110920,-0.025500,0.081600,1.000000,[]
0.00,1.00,5000.0,11.00,0.684600,0.150240,0.126850,-0.031700,0.073200,1.000000,[]
0.00,1.00,5000.0,12.00,0.700500,0.165950,0.142420,-0.038400,0.066500,1.000000,[]
0.00,1.00,5000.0,13.00,0.720500,0.181630,0.157960,-0.044800,0.061200,1.000000,[]
0.00,1.00,5000.0,14.00,0.742500,0.197050,0.173350,-0.051400,0.056400,1.000000,[]
0.00,1.00,5000.0,15.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,10000.0,0.00,-0.000000,0.030930,0.006450,-0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.094300,0.031150,0.007050,0.000800,1.000000,1.000000,[]
0.00,1.00,10000.0,2.00,0.212200,0.032370,0.009360,-0.002700,0.806100,1.000000,[]
0.00,1.00,10000.0,3.00,0.334600,0.034730,0.013340,-0.005100,0.656800,1.000000,[]
0.00,1.00,10000.0,4.00,0.437400,0.038050,0.018610,-0.002300,0.478900,1.000000,[]
0.00,1.00,10000.0,5.00,0.511700,0.044300,0.024210,0.005300,0.150800,1.000000,[]
0.00,1.00,10000.0,6.00,0.588300,0.054270,0.035160,0.005600,0.075000,1.000000,[]
0.00,1.00,10000.0,7.00,0.652100,0.068240,0.051280,0.002100,0.052500,1.000000,[]
0.00,1.00,10000.0,8.00,0.676400,0.086560,0.070840,-0.007000,0.044700,1.000000,[]
0.00,1.00,10000.0,9.00,0.677300,0.106560,0.090660,-0.019400,0.040700,1.000000,[]
0.00,1.00,10000.0,10.00,0.684000,0.124240,0.108020,-0.027600,0.037600,1.000000,[]
0.00,1.00,10000.0,11.00,0.692400,0.141500,0.125160,-0.035300,0.034600,1.000000,[]
0.00,1.00,10000.0,12.00,0.707600,0.157620,0.141170,-0.041700,0.031100,1.000000,[]
0.00,1.00,10000.0,13.00,0.725000,0.173770,0.157160,-0.048500,0.029900,1.000000,[]
0.00,1.00,10000.0,14.00,0.744600,0.189270,0.172580,-0.055500,0.027700,1.000000,[]
0.00,1.00,10000.0,15.00,0.768300,0.204380,0.187750,-0.062200,0.024900,1.000000,[]
0.00,1.00,15000.0,0.00,0.000000,0.025110,0.005380,-0.000000,1.000000,1.000000,[]
0.00,1.00,15000.0,1.00,0.112200,0.025580,0.006010,-0.001900,0.824100,1.000000,[]
