mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.060330,0.025630,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.055500,0.060730,0.028160,0.002300,0.947500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.112700,0.061630,0.029070,0.005100,0.867100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.171000,0.063650,0.031280,0.007700,0.792200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.230000,0.066250,0.034410,0.010800,0.702400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.271000,0.070110,0.038870,0.015000,0.647200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.320700,0.074820,0.044400,0.018400,0.554800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.358200,0.080320,0.050660,0.023000,0.428300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.388900,0.088300,0.059220,0.025700,0.337300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.412700,0.097770,0.068860,0.027800,0.252200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.439200,0.109530,0.080810,0.028200,0.210500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.444500,0.120600,0.091470,0.028100,0.156800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.445000,0.132820,0.103330,0.025500,0.129500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.457200,0.145590,0.116070,0.022600,0.119700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.474200,0.157020,0.127250,0.020300,0.098100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.485000,0.169170,0.139360,0.016400,0.083200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.044810,0.022240,0.000000,0.850200,0.850200,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.078400,0.045160,0.022470,0.001200,0.777800,0.910900,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.172500,0.045790,0.023140,0.000100,0.696700,0.967300,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.245600,0.047520,0.025250,0.001100,0.652700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.312700,0.049250,0.027350,0.005300,0.590300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.368300,0.051620,0.030380,0.011400,0.512500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.410700,0.054690,0.034020,0.019100,0.396100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.469700,0.057710,0.037410,0.026800,0.260900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.504600,0.062920,0.041820,0.035000,0.152100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.506000,0.071470,0.050280,0.039200,0.095100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.506800,0.081210,0.059800,0.040900,0.074400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.485400,0.098050,0.077130,0.036400,0.068000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.473400,0.114440,0.093520,0.031800,0.066200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.472400,0.128960,0.108030,0.027900,0.065100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.479200,0.142740,0.121810,0.024100,0.064200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.490700,0.156370,0.135420,0.020300,0.063300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,0.000000,0.037150,0.018580,0.000000,0.770300,0.770300,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.100000,0.037140,0.018460,-0.000300,0.697600,0.843000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.170500,0.038030,0.019450,0.003300,0.653800,0.898900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.268000,0.039010,0.020800,0.002900,0.610400,0.947000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.353700,0.040310,0.022560,0.004500,0.539900,0.978200,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.431400,0.041930,0.024690,0.008400,0.427500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.498300,0.043720,0.025500,0.016900,0.228700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.500900,0.049160,0.029080,0.027800,0.083600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.517900,0.054780,0.034680,0.035200,0.063700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.539600,0.061190,0.041840,0.040800,0.060900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.551900,0.069960,0.051550,0.044100,0.058900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.540800,0.083400,0.066000,0.043100,0.057700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.507000,0.103250,0.086250,0.036600,0.056900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.491400,0.120480,0.103500,0.031300,0.056400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.490300,0.135480,0.118490,0.027000,0.055900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,0.497300,0.149680,0.132650,0.023000,0.055100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,0.00,-0.000000,0.031960,0.015630,-0.000000,0.716500,0.716500,['poor_input_coordinate_distribution']
