mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.045610,0.009190,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.075800,0.045850,0.009720,0.003100,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.149100,0.046650,0.011630,0.006300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.218200,0.048200,0.015550,0.009300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.325000,0.051830,0.022200,0.004300,0.880500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.447200,0.057670,0.032500,-0.000600,0.616400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.549200,0.067670,0.043700,0.007700,0.206300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.598800,0.081270,0.058080,0.007400,0.126100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.623100,0.097070,0.074660,0.002200,0.099800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.628200,0.113750,0.091140,-0.005300,0.086900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.635900,0.130460,0.107410,-0.013200,0.077100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.650500,0.146670,0.123400,-0.019700,0.070300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.664800,0.162520,0.139360,-0.026400,0.062200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.683100,0.178260,0.154960,-0.033000,0.056600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.705200,0.194440,0.171060,-0.039300,0.054100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.726200,0.210070,0.186500,-0.045900,0.049800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.032040,0.006950,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.074300,0.032270,0.007390,0.003600,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.178200,0.033380,0.009380,0.001700,0.908800,1.000000,['poor_input_coordinate_distribution']
