mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000100,0.044530,0.008420,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.097900,0.044750,0.009240,0.001500,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.194600,0.045440,0.011800,0.002800,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.287600,0.046830,0.016500,0.003300,1.000000,1.000000,[]
0.00,1.00,5000.0,4.00,0.434600,0.054070,0.025970,-0.001500,0.401100,1.000000,[]
0.00,1.00,5000.0,5.00,0.520300,0.064220,0.036730,0.001200,0.218400,1.000000,[]
0.00,1.00,5000.0,6.00,0.596000,0.077050,0.051270,-0.001600,0.145100,1.000000,[]
0.00,1.00,5000.0,7.00,0.643300,0.092710,0.068640,-0.008500,0.113400,1.000000,[]
0.00,1.00,5000.0,8.00,0.665600,0.108890,0.085190,-0.015600,0.096700,1.000000,[]
0.00,1.00,5000.0,9.00,0.675800,0.124630,0.100690,-0.022500,0.087300,1.000000,[]
0.00,1.00,5000.0,10.00,0.689100,0.139850,0.115630,-0.028600,0.078100,1.000000,[]
0.00,1.00,5000.0,11.00,0.707800,0.154800,0.130460,-0.034400,0.070900,1.000000,[]
0.00,1.00,5000.0,12.00,0.728800,0.169610,0.145300,-0.040800,0.067200,1.000000,[]
0.00,1.00,5000.0,13.00,0.751700,0.183690,0.159300,-0.047400,0.060400,1.000000,[]
0.00,1.00,5000.0,14.00,0.777200,0.197400,0.172850,-0.054200,0.055200,1.000000,[]
0.00,1.00,5000.0,15.00,0.806000,0.211240,0.186690,-0.061300,0.053900,1.000000,[]
0.00,1.00,10000.0,0.00,0.000100,0.031330,0.006200,0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.098900,0.031490,0.006840,0.002000,1.000000,1.000000,[]
0.00,1.00,10000.0,2.00,0.196900,0.032010,0.008880,0.003800,1.000000,1.000000,[]
0.00,1.00,10000.0,3.00,0.331300,0.035420,0.013190,0.001500,0.438400,1.000000,[]
0.00,1.00,10000.0,4.00,0.420600,0.041220,0.018580,0.006100,0.197800,1.000000,[]
0.00,1.00,10000.0,5.00,0.516500,0.048890,0.027580,0.006600,0.103600,1.000000,[]
0.00,1.00,10000.0,6.00,0.606400,0.060790,0.042090,0.003500,0.066000,1.000000,[]
0.00,1.00,10000.0,7.00,0.661200,0.077990,0.061170,-0.004400,0.053500,1.000000,[]
