mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.051860,0.021930,0.000000,0.996300,0.996300,[]
0.00,1.00,5000.0,1.00,0.083700,0.053300,0.022950,-0.003300,0.849900,1.000000,[]
0.00,1.00,5000.0,2.00,0.171000,0.055830,0.025330,-0.005100,0.738400,1.000000,[]
0.00,1.00,5000.0,3.00,0.253000,0.059360,0.029230,-0.005500,0.639800,1.000000,[]
0.00,1.00,5000.0,4.00,0.330400,0.063960,0.034100,-0.005200,0.550800,1.000000,[]
0.00,1.00,5000.0,5.00,0.392500,0.069880,0.040480,-0.004600,0.468000,1.000000,[]
0.00,1.00,5000.0,6.00,0.445400,0.077230,0.048300,-0.004300,0.393400,1.000000,[]
0.00,1.00,5000.0,7.00,0.486400,0.086190,0.058000,-0.004800,0.331000,1.000000,[]
0.00,1.00,5000.0,8.00,0.523700,0.096610,0.068720,-0.006400,0.277600,1.000000,[]
0.00,1.00,5000.0,9.00,0.547100,0.108690,0.081070,-0.009900,0.234500,1.000000,[]
0.00,1.00,5000.0,10.00,0.571300,0.121520,0.094110,-0.013800,0.200100,1.000000,[]
0.00,1.00,5000.0,11.00,0.592700,0.134960,0.107720,-0.018500,0.172300,1.000000,[]
0.00,1.00,5000.0,12.00,0.613700,0.149130,0.122380,-0.024000,0.152400,1.000000,[]
0.00,1.00,5000.0,13.00,0.637300,0.163510,0.136890,-0.029500,0.135000,1.000000,[]
0.00,1.00,5000.0,14.00,0.660900,0.178040,0.151620,-0.035200,0.118600,1.000000,[]
0.00,1.00,5000.0,15.00,0.681400,0.193240,0.166900,-0.042100,0.108700,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.038550,0.017020,0.000000,0.753200,0.753200,[]
0.00,1.00,10000.0,1.00,0.116900,0.038890,0.017380,-0.002600,0.659700,0.858300,[]
0.00,1.00,10000.0,2.00,0.229300,0.040020,0.018610,-0.005500,0.571200,1.000000,[]
0.00,1.00,10000.0,3.00,0.310300,0.042280,0.021030,-0.003000,0.492700,1.000000,[]
0.00,1.00,10000.0,4.00,0.391300,0.045310,0.024260,-0.000600,0.417200,1.000000,[]
0.00,1.00,10000.0,5.00,0.467800,0.049330,0.028680,0.001500,0.346500,1.000000,[]
0.00,1.00,10000.0,6.00,0.534900,0.054730,0.034880,0.003000,0.281000,1.000000,[]
0.00,1.00,10000.0,7.00,0.584900,0.062530,0.043280,0.002700,0.224000,1.000000,[]
0.00,1.00,10000.0,8.00,0.605900,0.074320,0.055320,-0.000800,0.180500,1.000000,[]
0.00,1.00,10000.0,9.00,0.618800,0.088570,0.069710,-0.006400,0.148200,1.000000,[]
0.00,1.00,10000.0,10.00,0.627500,0.103730,0.084920,-0.012600,0.122100,1.000000,[]
0.00,1.00,10000.0,11.00,0.634600,0.119670,0.101150,-0.019400,0.103800,1.000000,[]
0.00,1.00,10000.0,12.00,0.650700,0.134980,0.116500,-0.025400,0.092600,1.000000,[]
0.00,1.00,10000.0,13.00,0.664600,0.150030,0.131630,-0.032100,0.076800,1.000000,[]
0.00,1.00,10000.0,14.00,0.682200,0.166360,0.147990,-0.039400,0.071400,1.000000,[]
0.00,1.00,10000.0,15.00,0.702500,0.181690,0.163420,-0.046600,0.061600,1.000000,[]
