mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.058690,0.024930,-0.000000,0.983600,0.983600,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.063700,0.059220,0.025340,0.001800,0.938900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.123800,0.060530,0.026770,0.004600,0.894500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.186800,0.062560,0.029270,0.007000,0.846400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.248600,0.065350,0.032920,0.009300,0.790500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.310200,0.069030,0.037850,0.011200,0.711500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.362300,0.073500,0.043640,0.013900,0.589000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.419000,0.079750,0.051190,0.015400,0.439000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.483500,0.087710,0.059990,0.017100,0.299200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.513400,0.100270,0.074180,0.015600,0.224000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.532500,0.113810,0.087720,0.012300,0.174800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.559400,0.127920,0.101780,0.008800,0.149000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.563700,0.143590,0.117390,0.001600,0.128900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.582300,0.158620,0.132440,-0.004200,0.112900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.607900,0.173450,0.147330,-0.009300,0.098600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.625500,0.189470,0.163340,-0.016800,0.091000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,0.000000,0.044700,0.020610,-0.000000,0.844600,0.844600,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.083900,0.044920,0.020900,0.000800,0.810500,0.874100,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.162600,0.045720,0.022060,0.002100,0.777400,0.907600,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.244900,0.047060,0.024060,0.002700,0.733700,0.945000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.312500,0.048750,0.026700,0.005400,0.664600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.358200,0.051070,0.029870,0.011700,0.556300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.441800,0.052940,0.032880,0.016100,0.401400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.530500,0.056450,0.036970,0.021900,0.212800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.579700,0.063740,0.044100,0.025200,0.146600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.611400,0.074490,0.055940,0.024700,0.110900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.618300,0.089720,0.071770,0.020100,0.091600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.607300,0.110130,0.092310,0.010200,0.080600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.604300,0.128590,0.110570,0.001300,0.066800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.615900,0.145340,0.127350,-0.006000,0.061800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.627500,0.162860,0.144800,-0.014300,0.057300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.645200,0.178590,0.160380,-0.022000,0.048200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,-0.000000,0.037360,0.017300,0.000000,0.790800,0.790800,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.083000,0.037600,0.017830,0.001900,0.764100,0.819000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.162000,0.038230,0.018690,0.004300,0.730100,0.844000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.247700,0.039280,0.020360,0.005600,0.687800,0.874500,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.318700,0.040660,0.022560,0.009000,0.607200,0.904100,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.397700,0.042080,0.025020,0.011900,0.482200,0.949900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.508800,0.043040,0.025100,0.016500,0.230700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.560100,0.048300,0.030670,0.021500,0.140500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.609900,0.054680,0.037420,0.024500,0.100700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.657700,0.063110,0.046800,0.025600,0.078900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.679900,0.075140,0.059960,0.023600,0.063100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.657000,0.096990,0.082740,0.013600,0.057600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.635600,0.120890,0.106580,0.001200,0.053400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.629400,0.140650,0.126150,-0.008900,0.044300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.640200,0.158110,0.143510,-0.017100,0.040500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,0.655400,0.174660,0.159890,-0.025600,0.034400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,0.00,-0.000000,0.032700,0.015380,0.000000,0.762800,0.762800,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,1.00,0.086500,0.032890,0.015550,0.001800,0.738400,0.788200,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,2.00,0.173500,0.033440,0.016410,0.003600,0.708100,0.811600,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,3.00,0.256000,0.034320,0.017800,0.005900,0.659900,0.834300,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,4.00,0.330600,0.035470,0.019700,0.009500,0.569600,0.864400,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,5.00,0.443700,0.035290,0.019700,0.012800,0.384400,0.886200,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,6.00,0.515900,0.038960,0.021940,0.017400,0.167200,0.921600,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,7.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,20000.0,8.00,0.637400,0.049110,0.033410,0.022800,0.079200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,9.00,0.688300,0.056260,0.041280,0.024400,0.061100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,10.00,0.722800,0.067180,0.053600,0.024300,0.054100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,11.00,0.708700,0.085270,0.072760,0.017800,0.047700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,12.00,0.657300,0.115120,0.102840,0.000800,0.040800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,13.00,0.650600,0.135120,0.122650,-0.008900,0.037000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,14.00,0.648000,0.155800,0.143200,-0.019700,0.031000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,15.00,0.663600,0.172710,0.160010,-0.028000,0.027900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,0.00,-0.000000,0.029350,0.013610,0.000000,0.748700,0.748700,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,1.00,0.091100,0.029550,0.013910,0.001300,0.720500,0.765900,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,2.00,0.183800,0.030020,0.014590,0.002700,0.695100,0.791900,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,3.00,0.268000,0.030750,0.015830,0.005200,0.638400,0.810400,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,4.00,0.352500,0.031520,0.017250,0.008400,0.541500,0.834600,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,5.00,0.456000,0.032080,0.016650,0.013600,0.276600,0.858000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,6.00,0.521400,0.036070,0.019880,0.017100,0.136600,0.883800,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,7.00,0.592900,0.040290,0.025040,0.019300,0.089100,0.923400,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,8.00,0.658600,0.045090,0.030450,0.021200,0.067100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,9.00,0.715300,0.051490,0.037740,0.023300,0.054200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,10.00,0.755200,0.060930,0.048240,0.024100,0.046700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,11.00,0.750900,0.076560,0.065100,0.020000,0.039100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,12.00,0.690800,0.106520,0.095610,0.003500,0.036100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,13.00,0.654900,0.134620,0.123540,-0.011500,0.029800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,14.00,0.658800,0.153320,0.142120,-0.020700,0.026600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,15.00,0.669200,0.171280,0.159920,-0.030200,0.020700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,0.00,-0.000000,0.026890,0.012430,0.000000,0.736400,0.736400,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,1.00,0.095300,0.026980,0.012510,0.000800,0.710200,0.753600,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,2.00,0.190600,0.027480,0.013290,0.001900,0.683800,0.774700,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,3.00,0.278500,0.028010,0.014240,0.004300,0.618900,0.796700,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,4.00,0.374700,0.028390,0.015070,0.007000,0.504700,0.812500,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,5.00,0.459100,0.030300,0.015150,0.013200,0.210900,0.837200,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,6.00,0.530500,0.033830,0.018350,0.016000,0.113300,0.862900,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,7.00,0.605200,0.037680,0.023140,0.018100,0.077500,0.889300,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,8.00,0.678200,0.042110,0.028200,0.019700,0.057100,0.936500,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,9.00,0.736600,0.047790,0.034770,0.022200,0.050800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,10.00,0.782600,0.056010,0.044020,0.023400,0.039600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,11.00,0.787200,0.070050,0.059240,0.021300,0.034400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,12.00,0.703400,0.104320,0.094440,0.002600,0.030100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,13.00,0.669300,0.131400,0.121350,-0.011500,0.027000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,14.00,0.664400,0.152270,0.142030,-0.022400,0.021000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,15.00,0.677400,0.169570,0.159240,-0.031100,0.018500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,35000.0,0.00,0.000000,0.024900,0.011390,-0.000000,0.726400,0.726400,['poor_input_coordinate_distribution']
0.00,1.00,35000.0,1.00,0.099800,0.024940,0.011370,0.000400,0.704100,0.745200,['poor_input_coordinate_distribution']
0.00,1.00,35000.0,2.00,0.197100,0.025410,0.012140,0.001000,0.675200,0.761700,['poor_input_coordinate_distribution']
