mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.048850,0.011980,-0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.054800,0.049100,0.012390,0.006800,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.109700,0.049870,0.013850,0.013500,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.164600,0.051230,0.016450,0.019600,1.000000,1.000000,[]
0.00,1.00,5000.0,4.00,0.246900,0.053750,0.021610,0.019400,0.936000,1.000000,[]
0.00,1.00,5000.0,5.00,0.343800,0.058030,0.029290,0.016400,0.819500,1.000000,[]
0.00,1.00,5000.0,6.00,0.481700,0.063640,0.039220,0.018300,0.319000,1.000000,[]
0.00,1.00,5000.0,7.00,0.540500,0.075270,0.050380,0.023200,0.161000,1.000000,[]
0.00,1.00,5000.0,8.00,0.565800,0.088390,0.064370,0.023900,0.118800,1.000000,[]
0.00,1.00,5000.0,9.00,0.567400,0.103070,0.079220,0.021300,0.100500,1.000000,[]
0.00,1.00,5000.0,10.00,0.566900,0.119260,0.095050,0.015000,0.089500,1.000000,[]
0.00,1.00,5000.0,11.00,0.572700,0.134610,0.109980,0.009300,0.078600,1.000000,[]
0.00,1.00,5000.0,12.00,0.584400,0.149900,0.125440,0.003700,0.072600,1.000000,[]
0.00,1.00,5000.0,13.00,0.599800,0.164700,0.139960,-0.001500,0.064800,1.000000,[]
0.00,1.00,5000.0,14.00,0.614800,0.179220,0.154320,-0.007700,0.058200,1.000000,[]
0.00,1.00,5000.0,15.00,0.635200,0.194190,0.169220,-0.013400,0.055800,1.000000,[]
0.00,1.00,10000.0,0.00,-0.000000,0.035360,0.009930,-0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.069100,0.035500,0.010210,0.004200,0.952700,1.000000,[]
0.00,1.00,10000.0,2.00,0.152300,0.036460,0.011780,0.006100,0.906800,1.000000,[]
0.00,1.00,10000.0,3.00,0.238600,0.037970,0.014910,0.007800,0.857900,1.000000,[]
0.00,1.00,10000.0,4.00,0.323900,0.040000,0.018970,0.010000,0.783800,1.000000,[]
0.00,1.00,10000.0,5.00,0.449800,0.042910,0.022920,0.015400,0.232800,1.000000,[]
