mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.046070,0.010730,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.079500,0.046310,0.011210,0.001600,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.157400,0.047020,0.012890,0.003300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.231800,0.048350,0.015960,0.005300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.307900,0.050890,0.021290,0.005200,0.968500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.476100,0.060400,0.032140,0.001100,0.250400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.542700,0.073770,0.044890,0.002500,0.123800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.590000,0.088510,0.060640,-0.000600,0.084000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.614700,0.105250,0.077960,-0.005900,0.077300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.623400,0.122340,0.094610,-0.012400,0.073500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.627700,0.139070,0.110950,-0.020300,0.064400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.640300,0.154980,0.126260,-0.025400,0.049600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.652900,0.171320,0.142380,-0.031900,0.045300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.671700,0.188150,0.159050,-0.037700,0.044500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.691500,0.204890,0.175680,-0.043400,0.044200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.711600,0.221580,0.192310,-0.048900,0.044200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.032350,0.007870,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.080400,0.032570,0.008270,0.002000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.159000,0.033190,0.009660,0.004100,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.258600,0.034600,0.012590,0.001700,0.914800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.397800,0.038800,0.016960,0.001100,0.286400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.466100,0.048100,0.023700,0.004100,0.072500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.549600,0.058200,0.035120,0.004700,0.049600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.614700,0.074060,0.053510,0.001100,0.038500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.634000,0.093150,0.073530,-0.006200,0.036500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.635400,0.112230,0.092540,-0.015500,0.035700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.639700,0.129760,0.109800,-0.023100,0.029900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.644900,0.146090,0.125660,-0.030400,0.020200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.656100,0.162120,0.141500,-0.037300,0.014400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.674600,0.178200,0.157440,-0.043000,0.013600,1.000000,['poor_input_coordinate_distribution']
