mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.049020,0.013610,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.062600,0.049320,0.014090,0.005100,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.123400,0.050290,0.015760,0.009900,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.202700,0.052430,0.019420,0.010000,0.928900,1.000000,[]
0.00,1.00,5000.0,4.00,0.304300,0.056090,0.024860,0.006500,0.766900,1.000000,[]
0.00,1.00,5000.0,5.00,0.405200,0.061230,0.032150,0.004400,0.590200,1.000000,[]
0.00,1.00,5000.0,6.00,0.496600,0.068230,0.041510,0.005800,0.395200,1.000000,[]
0.00,1.00,5000.0,7.00,0.556200,0.077670,0.051790,0.009100,0.260000,1.000000,[]
0.00,1.00,5000.0,8.00,0.581800,0.089750,0.064120,0.010000,0.192900,1.000000,[]
0.00,1.00,5000.0,9.00,0.586000,0.104530,0.078850,0.006300,0.156800,1.000000,[]
0.00,1.00,5000.0,10.00,0.593800,0.119600,0.094230,0.001800,0.132600,1.000000,[]
0.00,1.00,5000.0,11.00,0.605000,0.134720,0.109270,-0.003100,0.117000,1.000000,[]
0.00,1.00,5000.0,12.00,0.619600,0.149550,0.124050,-0.007900,0.101400,1.000000,[]
0.00,1.00,5000.0,13.00,0.633400,0.165010,0.139550,-0.013800,0.093900,1.000000,[]
0.00,1.00,5000.0,14.00,0.651500,0.180020,0.154550,-0.019100,0.081900,1.000000,[]
0.00,1.00,5000.0,15.00,0.668600,0.195630,0.170220,-0.025300,0.076900,1.000000,[]
0.00,1.00,10000.0,0.00,-0.000000,0.034950,0.010520,-0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.068600,0.035240,0.010960,0.004400,0.971700,1.000000,[]
0.00,1.00,10000.0,2.00,0.173000,0.036320,0.012600,0.002700,0.848600,1.000000,[]
0.00,1.00,10000.0,3.00,0.282500,0.037990,0.015510,0.001400,0.710700,1.000000,[]
0.00,1.00,10000.0,4.00,0.392000,0.040380,0.019070,0.002000,0.551000,1.000000,[]
0.00,1.00,10000.0,5.00,0.485000,0.043890,0.023490,0.007300,0.347600,1.000000,[]
0.00,1.00,10000.0,6.00,0.550500,0.049510,0.028930,0.013600,0.188900,1.000000,[]
0.00,1.00,10000.0,7.00,0.606300,0.057270,0.037270,0.017300,0.122200,1.000000,[]
0.00,1.00,10000.0,8.00,0.644800,0.068230,0.050060,0.018300,0.091600,1.000000,[]
0.00,1.00,10000.0,9.00,0.646600,0.083290,0.066080,0.015700,0.080100,1.000000,[]
0.00,1.00,10000.0,10.00,0.630800,0.102100,0.084790,0.007100,0.068300,1.000000,[]
0.00,1.00,10000.0,11.00,0.627700,0.120200,0.102680,-0.000400,0.064600,1.000000,[]
0.00,1.00,10000.0,12.00,0.629100,0.137020,0.119390,-0.007500,0.056100,1.000000,[]
0.00,1.00,10000.0,13.00,0.639500,0.152720,0.134970,-0.013700,0.049000,1.000000,[]
0.00,1.00,10000.0,14.00,0.654600,0.169050,0.151290,-0.020000,0.047100,1.000000,[]
0.00,1.00,10000.0,15.00,0.671100,0.184190,0.166420,-0.026400,0.039600,1.000000,[]
0.00,1.00,15000.0,0.00,-0.000000,0.028760,0.009080,0.000000,0.986800,0.986800,[]
0.00,1.00,15000.0,1.00,0.106500,0.029070,0.009470,-0.001800,0.876400,1.000000,[]
0.00,1.00,15000.0,2.00,0.217800,0.029890,0.010680,-0.003000,0.748400,1.000000,[]
0.00,1.00,15000.0,3.00,0.325500,0.031210,0.012750,-0.002200,0.609100,1.000000,[]
0.00,1.00,15000.0,4.00,0.423000,0.033290,0.015100,0.002000,0.434800,1.000000,[]
0.00,1.00,15000.0,5.00,0.496800,0.036860,0.018580,0.008700,0.233800,1.000000,[]
0.00,1.00,15000.0,6.00,0.562300,0.042090,0.023620,0.013600,0.123600,1.000000,[]
0.00,1.00,15000.0,7.00,0.625800,0.048580,0.031020,0.017400,0.084600,1.000000,[]
0.00,1.00,15000.0,8.00,0.676800,0.057670,0.041880,0.020100,0.064300,1.000000,[]
0.00,1.00,15000.0,9.00,0.689900,0.072170,0.058040,0.019400,0.056900,1.000000,[]
0.00,1.00,15000.0,10.00,0.658800,0.092160,0.078280,0.010900,0.049500,1.000000,[]
0.00,1.00,15000.0,11.00,0.637800,0.113560,0.099430,0.000200,0.044700,1.000000,[]
0.00,1.00,15000.0,12.00,0.637400,0.131290,0.117050,-0.006900,0.042700,1.000000,[]
0.00,1.00,15000.0,13.00,0.642800,0.147580,0.133200,-0.013700,0.035500,1.000000,[]
0.00,1.00,15000.0,14.00,0.653500,0.163950,0.149510,-0.020800,0.030600,1.000000,[]
0.00,1.00,15000.0,15.00,0.671200,0.179870,0.165400,-0.027100,0.029200,1.000000,[]
0.00,1.00,20000.0,0.00,0.000000,0.025090,0.008070,0.000000,0.921400,0.921400,[]
0.00,1.00,20000.0,1.00,0.134900,0.025360,0.008400,-0.006200,0.813600,1.000000,[]
0.00,1.00,20000.0,2.00,0.247100,0.026030,0.009420,-0.006600,0.681100,1.000000,[]
0.00,1.00,20000.0,3.00,0.348000,0.027250,0.010790,-0.003800,0.531200,1.000000,[]
0.00,1.00,20000.0,4.00,0.433200,0.029390,0.012750,0.002000,0.354800,1.000000,[]
0.00,1.00,20000.0,5.00,0.503700,0.033110,0.016000,0.008000,0.166600,1.000000,[]
0.00,1.00,20000.0,6.00,0.574600,0.037650,0.020780,0.012400,0.094400,1.000000,[]
0.00,1.00,20000.0,7.00,0.641700,0.043320,0.027590,0.016600,0.067900,1.000000,[]
0.00,1.00,20000.0,8.00,0.700000,0.051420,0.037230,0.020100,0.054300,1.000000,[]
0.00,1.00,20000.0,9.00,0.722100,0.064240,0.051760,0.021200,0.042600,1.000000,[]
0.00,1.00,20000.0,10.00,0.683200,0.084380,0.072580,0.014800,0.040900,1.000000,[]
0.00,1.00,20000.0,11.00,0.657900,0.106570,0.094560,0.003400,0.038200,1.000000,[]
0.00,1.00,20000.0,12.00,0.640500,0.127570,0.115260,-0.007000,0.031000,1.000000,[]
0.00,1.00,20000.0,13.00,0.645900,0.144340,0.131970,-0.013700,0.028100,1.000000,[]
0.00,1.00,20000.0,14.00,0.659100,0.160500,0.148030,-0.019900,0.026200,1.000000,[]
0.00,1.00,20000.0,15.00,0.669900,0.177120,0.164560,-0.027900,0.019400,1.000000,[]
0.00,1.00,25000.0,0.00,0.000000,0.022580,0.007300,0.000000,0.876800,0.876800,[]
0.00,1.00,25000.0,1.00,0.141100,0.022780,0.007480,-0.006400,0.761600,0.957800,[]
0.00,1.00,25000.0,2.00,0.267200,0.023430,0.008290,-0.009000,0.625900,1.000000,[]
0.00,1.00,25000.0,3.00,0.359200,0.024700,0.009420,-0.004600,0.473000,1.000000,[]
0.00,1.00,25000.0,4.00,0.439000,0.026920,0.011230,0.001400,0.293600,1.000000,[]
0.00,1.00,25000.0,5.00,0.510800,0.030540,0.014380,0.006700,0.127400,1.000000,[]
0.00,1.00,25000.0,6.00,0.585200,0.034530,0.018790,0.011200,0.079500,1.000000,[]
0.00,1.00,25000.0,7.00,0.656400,0.039610,0.025080,0.015500,0.058100,1.000000,[]
0.00,1.00,25000.0,8.00,0.720200,0.046850,0.033760,0.019100,0.043300,1.000000,[]
0.00,1.00,25000.0,9.00,0.752800,0.057760,0.046160,0.022300,0.038600,1.000000,[]
0.00,1.00,25000.0,10.00,0.707700,0.077700,0.067170,0.018200,0.034200,1.000000,[]
0.00,1.00,25000.0,11.00,0.659700,0.104730,0.093980,0.002400,0.029500,1.000000,[]
0.00,1.00,25000.0,12.00,0.650900,0.123490,0.112590,-0.005700,0.026900,1.000000,[]
0.00,1.00,25000.0,13.00,0.651000,0.141700,0.130660,-0.013100,0.025500,1.000000,[]
0.00,1.00,25000.0,14.00,0.656100,0.159280,0.148130,-0.021200,0.018600,1.000000,[]
0.00,1.00,25000.0,15.00,0.672100,0.175070,0.163810,-0.027800,0.016300,1.000000,[]
0.00,1.00,30000.0,0.00,0.000100,0.020740,0.006750,0.000000,0.840800,0.841200,[]
0.00,1.00,30000.0,1.00,0.144500,0.020900,0.006760,-0.006400,0.723600,0.925100,[]
0.00,1.00,30000.0,2.00,0.271500,0.021570,0.007400,-0.008900,0.579000,0.983200,[]
0.00,1.00,30000.0,3.00,0.365400,0.022920,0.008450,-0.005100,0.426500,1.000000,[]
0.00,1.00,30000.0,4.00,0.443100,0.025210,0.010170,0.000700,0.242900,1.000000,[]
0.00,1.00,30000.0,5.00,0.517900,0.028580,0.013220,0.005500,0.105100,1.000000,[]
0.00,1.00,30000.0,6.00,0.594800,0.032140,0.017310,0.010000,0.069700,1.000000,[]
0.00,1.00,30000.0,7.00,0.670200,0.036830,0.023150,0.014100,0.053200,1.000000,[]
0.00,1.00,30000.0,8.00,0.737200,0.043280,0.030930,0.018200,0.039700,1.000000,[]
0.00,1.00,30000.0,9.00,0.774400,0.054090,0.043440,0.022200,0.031700,1.000000,[]
0.00,1.00,30000.0,10.00,0.740200,0.070170,0.060520,0.021900,0.027000,1.000000,[]
0.00,1.00,30000.0,11.00,0.678500,0.098990,0.089260,0.005200,0.026300,1.000000,[]
