mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.058230,0.023040,-0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.053500,0.058520,0.023460,0.007400,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.105400,0.059430,0.024920,0.014600,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.155400,0.061070,0.027550,0.021200,0.997500,1.000000,[]
0.00,1.00,5000.0,4.00,0.246100,0.063520,0.031920,0.018600,0.887400,1.000000,[]
0.00,1.00,5000.0,5.00,0.328300,0.066950,0.037700,0.018900,0.662600,1.000000,[]
0.00,1.00,5000.0,6.00,0.449800,0.071730,0.043810,0.020500,0.362000,1.000000,[]
0.00,1.00,5000.0,7.00,0.508300,0.080460,0.052370,0.025300,0.235500,1.000000,[]
0.00,1.00,5000.0,8.00,0.525900,0.091320,0.063480,0.029400,0.180600,1.000000,[]
0.00,1.00,5000.0,9.00,0.521800,0.104550,0.077060,0.030400,0.152700,1.000000,[]
0.00,1.00,5000.0,10.00,0.512700,0.118680,0.090820,0.028500,0.128600,1.000000,[]
0.00,1.00,5000.0,11.00,0.516900,0.132810,0.104650,0.026300,0.122400,1.000000,[]
0.00,1.00,5000.0,12.00,0.517900,0.146320,0.117920,0.023300,0.111300,1.000000,[]
0.00,1.00,5000.0,13.00,0.529500,0.158720,0.130020,0.021100,0.097700,1.000000,[]
0.00,1.00,5000.0,14.00,0.539700,0.171660,0.142820,0.017500,0.092500,1.000000,[]
0.00,1.00,5000.0,15.00,0.553200,0.183770,0.154810,0.014000,0.083500,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.044530,0.019940,-0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.073200,0.044500,0.020340,0.003800,0.975100,1.000000,[]
0.00,1.00,10000.0,2.00,0.155100,0.044990,0.021380,0.006100,0.923700,1.000000,[]
0.00,1.00,10000.0,3.00,0.230900,0.045850,0.023220,0.009700,0.839700,1.000000,[]
0.00,1.00,10000.0,4.00,0.315900,0.046760,0.025510,0.013700,0.649700,1.000000,[]
0.00,1.00,10000.0,5.00,0.465400,0.049640,0.027250,0.013200,0.246300,1.000000,[]
0.00,1.00,10000.0,6.00,0.518300,0.055200,0.032540,0.020400,0.152200,1.000000,[]
0.00,1.00,10000.0,7.00,0.568800,0.062090,0.040180,0.026400,0.112400,1.000000,[]
0.00,1.00,10000.0,8.00,0.595700,0.071220,0.050740,0.032300,0.089200,1.000000,[]
0.00,1.00,10000.0,9.00,0.587900,0.083380,0.063860,0.036600,0.078500,1.000000,[]
0.00,1.00,10000.0,10.00,0.551800,0.100620,0.081170,0.033900,0.069900,1.000000,[]
0.00,1.00,10000.0,11.00,0.528600,0.118270,0.098570,0.028500,0.063000,1.000000,[]
0.00,1.00,10000.0,12.00,0.525200,0.133340,0.113450,0.025100,0.061100,1.000000,[]
0.00,1.00,10000.0,13.00,0.529300,0.147210,0.127160,0.022000,0.056900,1.000000,[]
0.00,1.00,10000.0,14.00,0.538800,0.159570,0.139270,0.019000,0.048400,1.000000,[]
0.00,1.00,10000.0,15.00,0.547100,0.172640,0.152240,0.014700,0.042900,1.000000,[]
0.00,1.00,15000.0,0.00,0.000000,0.037470,0.017640,-0.000000,0.953800,0.953800,[]
0.00,1.00,15000.0,1.00,0.094300,0.037620,0.018110,0.000600,0.917600,0.980400,[]
0.00,1.00,15000.0,2.00,0.188900,0.038140,0.019150,0.001200,0.862200,1.000000,[]
0.00,1.00,15000.0,3.00,0.264200,0.038600,0.020450,0.006300,0.757400,1.000000,[]
0.00,1.00,15000.0,4.00,0.432700,0.039430,0.020230,0.001900,0.286300,1.000000,[]
0.00,1.00,15000.0,5.00,0.487200,0.043530,0.023480,0.010000,0.152000,1.000000,[]
0.00,1.00,15000.0,6.00,0.546500,0.047950,0.028170,0.016800,0.105300,1.000000,[]
0.00,1.00,15000.0,7.00,0.601500,0.053550,0.034700,0.023300,0.077400,1.000000,[]
0.00,1.00,15000.0,8.00,0.641900,0.061470,0.043950,0.029800,0.059500,1.000000,[]
0.00,1.00,15000.0,9.00,0.638000,0.072840,0.056540,0.037100,0.055800,1.000000,[]
0.00,1.00,15000.0,10.00,0.598400,0.087890,0.072130,0.039100,0.051500,1.000000,[]
0.00,1.00,15000.0,11.00,0.551000,0.109430,0.093450,0.031200,0.045300,1.000000,[]
0.00,1.00,15000.0,12.00,0.536000,0.125670,0.109450,0.026500,0.038400,1.000000,[]
0.00,1.00,15000.0,13.00,0.536000,0.140210,0.123790,0.023100,0.037300,1.000000,[]
0.00,1.00,15000.0,14.00,0.541500,0.154470,0.137950,0.019400,0.036600,1.000000,[]
0.00,1.00,15000.0,15.00,0.552100,0.168100,0.151520,0.015700,0.036100,1.000000,[]
0.00,1.00,20000.0,0.00,0.000000,0.033150,0.016160,-0.000000,0.921300,0.921300,[]
0.00,1.00,20000.0,1.00,0.088900,0.033280,0.016410,0.002400,0.880500,0.950400,[]
0.00,1.00,20000.0,2.00,0.181400,0.033580,0.017160,0.004100,0.821600,0.972200,[]
0.00,1.00,20000.0,3.00,0.288500,0.033510,0.017770,0.005300,0.657400,0.988300,[]
0.00,1.00,20000.0,4.00,0.441400,0.036160,0.018080,0.000500,0.197100,0.992200,[]
0.00,1.00,20000.0,5.00,0.512900,0.039600,0.021260,0.005500,0.111000,1.000000,[]
0.00,1.00,20000.0,6.00,0.573100,0.043370,0.025360,0.012700,0.078600,1.000000,[]
0.00,1.00,20000.0,7.00,0.632700,0.048250,0.031290,0.019500,0.057800,1.000000,[]
0.00,1.00,20000.0,8.00,0.676200,0.054970,0.038950,0.027000,0.050800,1.000000,[]
0.00,1.00,20000.0,9.00,0.680200,0.064230,0.049490,0.036200,0.039500,1.000000,[]
0.00,1.00,20000.0,10.00,0.629800,0.079460,0.065590,0.041000,0.035800,1.000000,[]
0.00,1.00,20000.0,11.00,0.567800,0.103210,0.089390,0.032800,0.035000,1.000000,[]
0.00,1.00,20000.0,12.00,0.544800,0.121660,0.107650,0.027300,0.034200,1.000000,[]
0.00,1.00,20000.0,13.00,0.539100,0.137470,0.123330,0.023100,0.033500,1.000000,[]
0.00,1.00,20000.0,14.00,0.542900,0.152100,0.137880,0.019300,0.033000,1.000000,[]
0.00,1.00,20000.0,15.00,0.552000,0.166020,0.151720,0.015500,0.032600,1.000000,[]
0.00,1.00,25000.0,0.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,25000.0,1.00,0.088200,0.030220,0.015120,0.002900,0.856900,0.930300,[]
0.00,1.00,25000.0,2.00,0.178600,0.030470,0.015760,0.005700,0.794900,0.953300,[]
0.00,1.00,25000.0,3.00,0.364800,0.030100,0.014310,-0.003900,0.378400,0.957500,[]
0.00,1.00,25000.0,4.00,0.438500,0.033500,0.016470,0.001300,0.157500,0.973400,[]
0.00,1.00,25000.0,5.00,0.515300,0.036460,0.019330,0.005800,0.097100,0.987800,[]
0.00,1.00,25000.0,6.00,0.595500,0.040040,0.023350,0.009400,0.064900,0.998500,[]
0.00,1.00,25000.0,7.00,0.658800,0.044530,0.028770,0.015900,0.052000,1.000000,[]
0.00,1.00,25000.0,8.00,0.706700,0.050130,0.035270,0.023500,0.038100,1.000000,[]
0.00,1.00,25000.0,9.00,0.719100,0.059120,0.045580,0.033700,0.033500,1.000000,[]
0.00,1.00,25000.0,10.00,0.664700,0.073250,0.060730,0.042500,0.032500,1.000000,[]
0.00,1.00,25000.0,11.00,0.583200,0.098620,0.086340,0.034400,0.032100,1.000000,[]
0.00,1.00,25000.0,12.00,0.552600,0.118650,0.106190,0.027800,0.031500,1.000000,[]
0.00,1.00,25000.0,13.00,0.543900,0.135080,0.122490,0.023400,0.031000,1.000000,[]
0.00,1.00,25000.0,14.00,0.545800,0.150110,0.137430,0.019400,0.030500,1.000000,[]
0.00,1.00,25000.0,15.00,0.554200,0.163560,0.150790,0.015500,0.026900,1.000000,[]
0.00,1.00,30000.0,0.00,0.000000,0.027890,0.014000,-0.000000,0.884600,0.884600,[]
0.00,1.00,30000.0,1.00,0.088600,0.027960,0.014150,0.003200,0.840800,0.916000,[]
0.00,1.00,30000.0,2.00,0.182900,0.028030,0.014570,0.005800,0.772600,0.939200,[]
0.00,1.00,30000.0,3.00,0.365200,0.028700,0.013180,-0.004000,0.286100,0.943000,[]
0.00,1.00,30000.0,4.00,0.440100,0.031450,0.015240,0.001100,0.131000,0.959700,[]
0.00,1.00,30000.0,5.00,0.518500,0.034020,0.017860,0.005700,0.082300,0.974000,[]
0.00,1.00,30000.0,6.00,0.597100,0.037140,0.021380,0.010000,0.055900,0.987000,[]
0.00,1.00,30000.0,7.00,0.676900,0.041400,0.026540,0.013700,0.043300,0.996400,[]
0.00,1.00,30000.0,8.00,0.741200,0.046990,0.033150,0.019100,0.033000,1.000000,[]
0.00,1.00,30000.0,9.00,0.757400,0.055430,0.042860,0.030200,0.031000,1.000000,[]
0.00,1.00,30000.0,10.00,0.702700,0.067640,0.056030,0.043000,0.030200,1.000000,[]
0.00,1.00,30000.0,11.00,0.602600,0.093290,0.082140,0.036800,0.030000,1.000000,[]
