mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.064040,0.029760,0.000000,0.904100,0.904000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.086300,0.064420,0.030040,-0.003300,0.848200,0.968200,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.145800,0.065650,0.031310,-0.001700,0.795800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.191800,0.067670,0.033470,0.002900,0.748300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.238900,0.070470,0.036670,0.007100,0.701100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.288700,0.074080,0.040900,0.010700,0.650200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.335800,0.078650,0.046280,0.013700,0.596900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.377200,0.084280,0.053030,0.016100,0.535400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.418100,0.091190,0.062110,0.017800,0.459400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.448200,0.099540,0.071560,0.018600,0.374700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.481000,0.109540,0.082340,0.018200,0.290500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.504500,0.121730,0.095040,0.016100,0.226600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.523900,0.134910,0.108410,0.012800,0.175700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.543900,0.148850,0.122670,0.008700,0.139700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.561100,0.164400,0.138260,0.002600,0.124300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.585000,0.178000,0.151670,-0.002200,0.097100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.047220,0.022680,-0.000000,0.756300,0.756300,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.076900,0.047550,0.023010,0.001800,0.715300,0.801600,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.157900,0.048490,0.024170,0.002600,0.673200,0.852000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.239200,0.050080,0.026220,0.002700,0.632400,0.910600,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.316200,0.052390,0.029120,0.002800,0.593400,0.990000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.358900,0.055270,0.032470,0.008700,0.548100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.398100,0.059190,0.037040,0.013900,0.493900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.435100,0.064350,0.043760,0.017800,0.423800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.477000,0.070160,0.050560,0.020700,0.332100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.526500,0.076060,0.057310,0.023800,0.229500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.573000,0.083370,0.065190,0.026400,0.156200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.579600,0.098440,0.080750,0.023000,0.114700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.578800,0.114690,0.096860,0.017700,0.080100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.580600,0.133030,0.115040,0.010900,0.071300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.585200,0.151640,0.133540,0.003100,0.065900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.600200,0.166190,0.147810,-0.003300,0.049900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,-0.000000,0.038700,0.018250,-0.000000,0.703300,0.703300,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.079600,0.038980,0.018530,0.002700,0.664100,0.740800,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.162600,0.039760,0.019560,0.004600,0.628900,0.782900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.249800,0.040940,0.021170,0.005600,0.595200,0.829500,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.330600,0.042790,0.023690,0.006900,0.553500,0.886100,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.402400,0.045580,0.027260,0.007900,0.508500,0.964200,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.450700,0.048870,0.031230,0.012800,0.454200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.487300,0.053360,0.036990,0.018000,0.370700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.554800,0.055560,0.039850,0.023700,0.255100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.605700,0.060310,0.044140,0.029000,0.149700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.629800,0.069490,0.053660,0.030500,0.096800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.643400,0.081730,0.066490,0.029100,0.069800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.633300,0.100610,0.086220,0.022800,0.059200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.607200,0.123670,0.109120,0.012000,0.044600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.597000,0.145260,0.130530,0.002300,0.039000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,0.605200,0.163230,0.148360,-0.005500,0.037200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,0.00,-0.000000,0.033460,0.015360,0.000000,0.670700,0.670700,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,1.00,0.085400,0.033650,0.015520,0.002500,0.640300,0.708400,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,2.00,0.171100,0.034190,0.016250,0.004900,0.604400,0.745300,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,3.00,0.255300,0.035370,0.017930,0.006900,0.571300,0.786700,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,4.00,0.343000,0.036890,0.020090,0.008200,0.536400,0.834200,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,5.00,0.427300,0.038900,0.022920,0.009400,0.492300,0.893300,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,6.00,0.495900,0.041850,0.027300,0.011500,0.427600,0.986200,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,7.00,0.548500,0.044220,0.030200,0.018200,0.321600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,8.00,0.607200,0.047070,0.032380,0.025200,0.180800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,9.00,0.633700,0.054130,0.039180,0.029000,0.107300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,10.00,0.656400,0.063060,0.048500,0.030500,0.069300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,11.00,0.673200,0.073910,0.059880,0.030000,0.050700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,12.00,0.673400,0.089590,0.076580,0.025700,0.037800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,13.00,0.633900,0.116180,0.103720,0.014000,0.035700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,14.00,0.613000,0.140740,0.128110,0.003000,0.034000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,15.00,0.616700,0.159040,0.146260,-0.005400,0.029400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,0.00,-0.000000,0.029760,0.013110,0.000000,0.654100,0.654100,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,1.00,0.089300,0.029960,0.013370,0.002300,0.620200,0.685900,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,2.00,0.181000,0.030440,0.014050,0.004200,0.592200,0.720600,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,3.00,0.268400,0.031270,0.015270,0.006700,0.556700,0.758300,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,4.00,0.353400,0.032670,0.017320,0.008800,0.523400,0.800700,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,5.00,0.441600,0.034380,0.019860,0.010300,0.480800,0.851800,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,6.00,0.527800,0.036250,0.023030,0.012200,0.404900,0.918500,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,7.00,0.603200,0.038040,0.024500,0.017100,0.242500,1.000000,['poor_input_coordinate_distribution']
