mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.099590,0.062090,-0.000000,0.822100,0.822100,[]
0.00,1.00,5000.0,1.00,0.041300,0.099730,0.062170,0.005000,0.807900,0.827800,[]
0.00,1.00,5000.0,2.00,0.078500,0.100130,0.062690,0.011200,0.785300,0.840900,[]
0.00,1.00,5000.0,3.00,0.120100,0.101320,0.064430,0.016100,0.769100,0.859700,[]
0.00,1.00,5000.0,4.00,0.163900,0.102470,0.066170,0.020600,0.740800,0.869800,[]
0.00,1.00,5000.0,5.00,0.195100,0.103890,0.068400,0.026500,0.710700,0.875200,[]
0.00,1.00,5000.0,6.00,0.222600,0.105750,0.071200,0.032500,0.677000,0.885500,[]
0.00,1.00,5000.0,7.00,0.252600,0.108260,0.074900,0.037500,0.634300,0.904600,[]
0.00,1.00,5000.0,8.00,0.282500,0.111030,0.079430,0.041200,0.582000,0.921100,[]
0.00,1.00,5000.0,9.00,0.306300,0.114450,0.084110,0.045500,0.525300,0.930700,[]
0.00,1.00,5000.0,10.00,0.330200,0.118860,0.089870,0.049100,0.462400,0.942500,[]
0.00,1.00,5000.0,11.00,0.359400,0.124680,0.097020,0.050200,0.392200,0.965300,[]
0.00,1.00,5000.0,12.00,0.378100,0.131940,0.105380,0.051100,0.316300,0.988900,[]
0.00,1.00,5000.0,13.00,0.390200,0.139550,0.113810,0.053500,0.245800,1.000000,[]
0.00,1.00,5000.0,14.00,0.387400,0.148660,0.123260,0.055900,0.207800,1.000000,[]
0.00,1.00,5000.0,15.00,0.378300,0.157270,0.131690,0.057900,0.165200,1.000000,[]
0.00,1.00,10000.0,0.00,-0.000000,0.079890,0.053020,0.000000,0.734800,0.734800,[]
0.00,1.00,10000.0,1.00,0.021100,0.080210,0.053360,0.009600,0.721700,0.752000,[]
0.00,1.00,10000.0,2.00,0.075700,0.080370,0.053610,0.014100,0.699100,0.763800,[]
0.00,1.00,10000.0,3.00,0.095400,0.080760,0.054320,0.023200,0.677200,0.769800,[]
0.00,1.00,10000.0,4.00,0.131000,0.081310,0.055230,0.030000,0.648700,0.776400,[]
0.00,1.00,10000.0,5.00,0.141400,0.082120,0.056570,0.040000,0.609700,0.787000,[]
0.00,1.00,10000.0,6.00,0.160600,0.083650,0.058740,0.048500,0.574100,0.803500,[]
0.00,1.00,10000.0,7.00,0.199600,0.085630,0.061540,0.053200,0.533000,0.813700,[]
0.00,1.00,10000.0,8.00,0.230600,0.087800,0.064560,0.058700,0.485100,0.820200,[]
0.00,1.00,10000.0,9.00,0.257300,0.090600,0.068600,0.064200,0.430700,0.827700,[]
0.00,1.00,10000.0,10.00,0.280000,0.094130,0.073110,0.069600,0.371100,0.839400,[]
0.00,1.00,10000.0,11.00,0.312900,0.098390,0.078500,0.073500,0.304100,0.857200,[]
