mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000700,0.044170,0.007710,0.000200,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.088100,0.044310,0.007660,0.002300,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.174600,0.045000,0.009990,0.004700,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.257000,0.046320,0.014210,0.007200,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.344900,0.049230,0.022820,0.006400,0.934900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.493700,0.061400,0.035340,0.007300,0.192400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.564700,0.074830,0.049840,0.006400,0.108000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.612400,0.090350,0.066910,0.001100,0.081700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.634500,0.106580,0.083400,-0.005600,0.071300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.641700,0.123100,0.100400,-0.013800,0.066000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.654200,0.138580,0.115530,-0.020300,0.058200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.669100,0.153860,0.130380,-0.026400,0.052100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.686100,0.169210,0.145500,-0.032800,0.049900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.706100,0.184740,0.160880,-0.038900,0.049300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.725800,0.200020,0.176070,-0.045000,0.047400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.745700,0.215170,0.191170,-0.051200,0.043800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.030870,0.004700,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.089100,0.031050,0.005620,0.002600,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.176300,0.031610,0.007490,0.005400,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.274600,0.032910,0.011340,0.005400,0.935500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.405400,0.040020,0.018770,0.007800,0.157200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.489600,0.049550,0.028760,0.009800,0.061300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.574500,0.062530,0.044150,0.008700,0.040300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.624100,0.079390,0.062860,0.002100,0.031100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.641800,0.096790,0.080560,-0.007100,0.026300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.649600,0.113890,0.097990,-0.016000,0.025300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.661100,0.130180,0.113970,-0.023200,0.024900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.675900,0.146130,0.129680,-0.029500,0.024600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.693100,0.161960,0.145200,-0.035800,0.024400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.710700,0.177390,0.160470,-0.042400,0.023700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.729400,0.192280,0.175230,-0.049300,0.021700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.750600,0.207060,0.189930,-0.056100,0.018500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,-0.000300,0.025130,0.004430,-0.000100,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.089400,0.025270,0.004710,0.002800,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.178200,0.025770,0.006350,0.005500,0.994300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.310600,0.027230,0.010200,0.001100,0.767500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.404900,0.035380,0.016190,0.006800,0.072000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.497200,0.043850,0.026190,0.009200,0.035000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.584500,0.056960,0.041860,0.008700,0.022400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.634000,0.074770,0.061290,0.002400,0.021500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.650400,0.093300,0.080070,-0.007600,0.020400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.654800,0.110960,0.097960,-0.018000,0.018700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.663100,0.127070,0.113780,-0.025600,0.015700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.675100,0.142700,0.129090,-0.032400,0.013000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.690000,0.158350,0.144560,-0.039100,0.012000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.708900,0.173750,0.159830,-0.045300,0.011800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.730300,0.189000,0.174990,-0.051700,0.011700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,0.753700,0.204040,0.189970,-0.058100,0.011700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,0.00,-0.000000,0.021710,0.003750,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,1.00,0.089500,0.021850,0.004150,0.003000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,2.00,0.197500,0.022450,0.005820,0.002200,0.912200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,3.00,0.333400,0.024220,0.009890,0.000400,0.564100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,4.00,0.409700,0.032050,0.014790,0.005900,0.044900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,5.00,0.504200,0.040080,0.024490,0.008800,0.021700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,6.00,0.594600,0.054020,0.041080,0.008300,0.016600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,7.00,0.641400,0.072220,0.060610,0.001400,0.011600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,8.00,0.652800,0.091290,0.080250,-0.009400,0.010900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,9.00,0.656500,0.108780,0.097460,-0.019700,0.010800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,10.00,0.664600,0.125320,0.113730,-0.027300,0.010600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,11.00,0.676800,0.141440,0.129650,-0.034000,0.010400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,12.00,0.692200,0.157160,0.145210,-0.040300,0.010300,1.000000,['poor_input_coordinate_distribution']
