mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.057560,0.023050,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.042400,0.057860,0.023260,0.007400,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.092400,0.058800,0.024430,0.013000,0.986700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.164400,0.060760,0.027020,0.013900,0.934700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.239500,0.063340,0.030700,0.014400,0.846400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.310700,0.067030,0.035920,0.015000,0.738000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.378900,0.072020,0.042570,0.016400,0.563200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.460200,0.078500,0.050310,0.019300,0.338000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.515200,0.088660,0.060770,0.022100,0.223800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.529800,0.101900,0.073700,0.022600,0.165900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.529700,0.117080,0.088460,0.019300,0.134000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.533800,0.132840,0.104020,0.014800,0.122400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.548800,0.146640,0.117620,0.011900,0.102100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.552800,0.160880,0.131440,0.006500,0.085100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.570600,0.175820,0.146280,0.001700,0.081100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.591000,0.191200,0.161600,-0.003200,0.079400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.042880,0.018930,-0.000000,0.953800,0.953800,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.099100,0.043110,0.019130,-0.002800,0.907600,0.997900,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.164100,0.043820,0.020060,0.001400,0.854600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.241300,0.045200,0.021990,0.003500,0.794500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.310600,0.046920,0.024700,0.007700,0.704700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.376800,0.048960,0.027900,0.013300,0.550500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.501000,0.051660,0.029800,0.017000,0.229400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.544600,0.058520,0.036090,0.023800,0.130000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.582200,0.067110,0.045060,0.028500,0.091100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.597600,0.078310,0.057160,0.031100,0.070400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.582900,0.095990,0.075680,0.027500,0.067200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.564600,0.116120,0.095700,0.019300,0.065100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.560200,0.133050,0.112440,0.012800,0.058500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.567300,0.147210,0.126250,0.007600,0.048300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.574000,0.162590,0.141520,0.000800,0.042100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.592100,0.177250,0.156120,-0.004800,0.041600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,0.000000,0.035800,0.016150,-0.000000,0.890800,0.890800,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.088300,0.035990,0.016380,0.000700,0.849500,0.929900,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.196300,0.036570,0.017260,-0.002300,0.797900,0.969700,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.274800,0.037600,0.018920,0.000200,0.733400,0.998400,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.347300,0.038820,0.020960,0.004900,0.643200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.474800,0.039980,0.021110,0.007100,0.278300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.517000,0.044960,0.025040,0.015800,0.131300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.560200,0.050670,0.030560,0.022600,0.077800,1.000000,['poor_input_coordinate_distribution']
