mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.051900,0.015950,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.037800,0.052230,0.016380,0.008000,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.098000,0.053280,0.018000,0.011700,0.953900,1.000000,[]
0.00,1.00,5000.0,3.00,0.170000,0.055250,0.020930,0.013300,0.887300,1.000000,[]
0.00,1.00,5000.0,4.00,0.241200,0.058010,0.025240,0.015100,0.821200,1.000000,[]
0.00,1.00,5000.0,5.00,0.315600,0.061800,0.031220,0.016100,0.749200,1.000000,[]
0.00,1.00,5000.0,6.00,0.381300,0.066700,0.038870,0.018000,0.647100,1.000000,[]
0.00,1.00,5000.0,7.00,0.434900,0.072810,0.047490,0.022600,0.407300,1.000000,[]
0.00,1.00,5000.0,8.00,0.517800,0.081240,0.056730,0.029100,0.184700,1.000000,[]
0.00,1.00,5000.0,9.00,0.509000,0.097960,0.073900,0.027800,0.139000,1.000000,[]
0.00,1.00,5000.0,10.00,0.503700,0.113850,0.089580,0.023600,0.116400,1.000000,[]
0.00,1.00,5000.0,11.00,nan,nan,nan,nan,nan,nan,['could_not_be_computed']
0.00,1.00,5000.0,12.00,0.506700,0.144200,0.119770,0.013600,0.089300,1.000000,[]
0.00,1.00,5000.0,13.00,0.512800,0.158490,0.134500,0.007600,0.080900,1.000000,[]
0.00,1.00,5000.0,14.00,0.520600,0.171900,0.148090,0.001000,0.074000,1.000000,[]
0.00,1.00,5000.0,15.00,0.532600,0.184480,0.160910,-0.005800,0.067000,1.000000,[]
0.00,1.00,10000.0,0.00,-0.000000,0.038190,0.013410,0.000000,0.908300,0.908300,[]
0.00,1.00,10000.0,1.00,0.099800,0.038550,0.013940,-0.002000,0.852100,0.972900,[]
0.00,1.00,10000.0,2.00,0.184600,0.039490,0.015380,-0.001000,0.798500,1.000000,[]
0.00,1.00,10000.0,3.00,0.253700,0.040930,0.017720,0.003200,0.745100,1.000000,[]
0.00,1.00,10000.0,4.00,0.319000,0.043020,0.021150,0.008100,0.689200,1.000000,[]
0.00,1.00,10000.0,5.00,0.382200,0.045770,0.025830,0.013200,0.617600,1.000000,[]
