mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.052570,0.015490,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.044500,0.052820,0.015930,0.007800,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.089400,0.053620,0.017170,0.015300,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.161500,0.055340,0.019970,0.017200,0.953000,1.000000,[]
0.00,1.00,5000.0,4.00,0.238800,0.058010,0.024580,0.017800,0.896300,1.000000,[]
0.00,1.00,5000.0,5.00,0.319300,0.061710,0.030830,0.017600,0.814600,1.000000,[]
0.00,1.00,5000.0,6.00,0.392800,0.066400,0.038620,0.018600,0.659800,1.000000,[]
0.00,1.00,5000.0,7.00,0.487600,0.071960,0.047150,0.023400,0.333900,1.000000,[]
0.00,1.00,5000.0,8.00,0.550900,0.082760,0.058190,0.027900,0.179200,1.000000,[]
0.00,1.00,5000.0,9.00,0.559900,0.096550,0.072360,0.027400,0.134700,1.000000,[]
0.00,1.00,5000.0,10.00,0.558500,0.112290,0.087830,0.022700,0.112900,1.000000,[]
0.00,1.00,5000.0,11.00,0.567200,0.127330,0.102600,0.017700,0.097900,1.000000,[]
0.00,1.00,5000.0,12.00,0.578900,0.141740,0.116710,0.012100,0.087000,1.000000,[]
0.00,1.00,5000.0,13.00,0.596400,0.155290,0.130070,0.006400,0.077000,1.000000,[]
0.00,1.00,5000.0,14.00,0.618000,0.168380,0.142920,0.000400,0.069500,1.000000,[]
0.00,1.00,5000.0,15.00,0.640000,0.180980,0.155380,-0.006200,0.063500,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.038860,0.013240,0.000000,0.944200,0.944300,[]
0.00,1.00,10000.0,1.00,0.093400,0.039140,0.013700,-0.000900,0.905700,0.988000,[]
0.00,1.00,10000.0,2.00,0.169100,0.040040,0.015120,0.001900,0.865700,1.000000,[]
0.00,1.00,10000.0,3.00,0.242400,0.041420,0.017600,0.005300,0.822000,1.000000,[]
0.00,1.00,10000.0,4.00,0.315900,0.043270,0.021000,0.009100,0.760900,1.000000,[]
0.00,1.00,10000.0,5.00,0.378600,0.045510,0.025250,0.015000,0.649900,1.000000,[]
0.00,1.00,10000.0,6.00,0.496300,0.048060,0.028180,0.021900,0.210600,1.000000,[]
0.00,1.00,10000.0,7.00,0.538700,0.055960,0.035770,0.028600,0.102700,1.000000,[]
0.00,1.00,10000.0,8.00,0.584900,0.065720,0.046710,0.032200,0.069300,1.000000,[]
