mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.045790,0.011840,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.083500,0.046070,0.012540,0.001900,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.162000,0.047010,0.014610,0.003700,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.264700,0.049720,0.019260,-0.000500,0.850500,1.000000,[]
0.00,1.00,5000.0,4.00,0.396700,0.054940,0.026540,-0.005500,0.573400,1.000000,[]
0.00,1.00,5000.0,5.00,0.489800,0.061930,0.034620,-0.003400,0.382000,1.000000,[]
0.00,1.00,5000.0,6.00,0.558900,0.071310,0.045220,-0.002100,0.267200,1.000000,[]
0.00,1.00,5000.0,7.00,0.604000,0.083570,0.058410,-0.004200,0.201100,1.000000,[]
0.00,1.00,5000.0,8.00,0.626300,0.098200,0.073350,-0.008900,0.163700,1.000000,[]
0.00,1.00,5000.0,9.00,0.634700,0.113590,0.088670,-0.015000,0.139600,1.000000,[]
0.00,1.00,5000.0,10.00,0.647300,0.129020,0.104020,-0.020700,0.121100,1.000000,[]
0.00,1.00,5000.0,11.00,0.661600,0.144420,0.119590,-0.026500,0.107100,1.000000,[]
0.00,1.00,5000.0,12.00,0.679000,0.159730,0.134870,-0.032300,0.095500,1.000000,[]
0.00,1.00,5000.0,13.00,0.699100,0.175110,0.150330,-0.038100,0.085800,1.000000,[]
0.00,1.00,5000.0,14.00,0.717500,0.190380,0.165570,-0.044800,0.078900,1.000000,[]
0.00,1.00,5000.0,15.00,0.741600,0.205900,0.181120,-0.050700,0.071600,1.000000,[]
0.00,1.00,10000.0,0.00,0.000000,0.032050,0.008740,-0.000000,1.000000,1.000000,[]
0.00,1.00,10000.0,1.00,0.084900,0.032290,0.009270,0.002300,1.000000,1.000000,[]
0.00,1.00,10000.0,2.00,0.208700,0.033700,0.011540,-0.002000,0.779600,1.000000,[]
0.00,1.00,10000.0,3.00,0.327600,0.036250,0.014510,-0.001900,0.534300,1.000000,[]
0.00,1.00,10000.0,4.00,0.420300,0.039920,0.018410,0.002700,0.347200,1.000000,[]
0.00,1.00,10000.0,5.00,0.505800,0.044990,0.023880,0.005800,0.224400,1.000000,[]
0.00,1.00,10000.0,6.00,0.585000,0.052100,0.032230,0.007000,0.149800,1.000000,[]
0.00,1.00,10000.0,7.00,0.649200,0.062960,0.044750,0.004900,0.106400,1.000000,[]
0.00,1.00,10000.0,8.00,0.678400,0.078110,0.061030,-0.000900,0.084600,1.000000,[]
0.00,1.00,10000.0,9.00,0.674200,0.097590,0.080620,-0.012000,0.072800,1.000000,[]
0.00,1.00,10000.0,10.00,0.673200,0.116110,0.099060,-0.021300,0.065600,1.000000,[]
0.00,1.00,10000.0,11.00,0.680000,0.132700,0.115510,-0.028400,0.056700,1.000000,[]
0.00,1.00,10000.0,12.00,0.691600,0.149280,0.132040,-0.035100,0.052000,1.000000,[]
0.00,1.00,10000.0,13.00,0.706300,0.165050,0.147750,-0.041800,0.045100,1.000000,[]
0.00,1.00,10000.0,14.00,0.725100,0.180980,0.163690,-0.048500,0.042500,1.000000,[]
0.00,1.00,10000.0,15.00,0.747100,0.196230,0.178920,-0.055000,0.037600,1.000000,[]
0.00,1.00,15000.0,0.00,-0.000000,0.026070,0.007300,0.000000,1.000000,1.000000,[]
0.00,1.00,15000.0,1.00,0.108800,0.026540,0.007890,-0.001400,0.854700,1.000000,[]
0.00,1.00,15000.0,2.00,0.232000,0.028000,0.009430,-0.002600,0.615000,1.000000,[]
0.00,1.00,15000.0,3.00,0.329300,0.030270,0.011360,0.001500,0.414500,1.000000,[]
0.00,1.00,15000.0,4.00,0.420500,0.033380,0.014500,0.005100,0.266300,1.000000,[]
0.00,1.00,15000.0,5.00,0.510500,0.037580,0.019080,0.007200,0.168600,1.000000,[]
0.00,1.00,15000.0,6.00,0.597300,0.043450,0.026120,0.008300,0.109300,1.000000,[]
0.00,1.00,15000.0,7.00,0.671700,0.052320,0.036610,0.008000,0.076200,1.000000,[]
0.00,1.00,15000.0,8.00,0.714500,0.066170,0.052230,0.004000,0.059600,1.000000,[]
0.00,1.00,15000.0,9.00,0.702500,0.089090,0.075650,-0.010100,0.050800,1.000000,[]
0.00,1.00,15000.0,10.00,0.692900,0.109250,0.095540,-0.021100,0.046100,1.000000,[]
0.00,1.00,15000.0,11.00,0.692500,0.127230,0.113370,-0.029400,0.039500,1.000000,[]
0.00,1.00,15000.0,12.00,0.701700,0.144230,0.130260,-0.036200,0.037300,1.000000,[]
0.00,1.00,15000.0,13.00,0.712400,0.160910,0.146890,-0.043700,0.031500,1.000000,[]
0.00,1.00,15000.0,14.00,0.731300,0.176640,0.162600,-0.050000,0.029100,1.000000,[]
0.00,1.00,15000.0,15.00,0.750900,0.192870,0.178830,-0.057200,0.027600,1.000000,[]
0.00,1.00,20000.0,0.00,0.000000,0.022570,0.006440,-0.000000,0.981600,0.981700,[]
0.00,1.00,20000.0,1.00,0.128600,0.023250,0.006890,-0.003700,0.732800,1.000000,[]
0.00,1.00,20000.0,2.00,0.233800,0.024710,0.007920,-0.001000,0.519800,1.000000,[]
0.00,1.00,20000.0,3.00,0.327700,0.026820,0.009520,0.002900,0.347100,1.000000,[]
0.00,1.00,20000.0,4.00,0.422400,0.029560,0.012320,0.005400,0.221600,1.000000,[]
0.00,1.00,20000.0,5.00,0.516200,0.033200,0.016360,0.007100,0.138400,1.000000,[]
0.00,1.00,20000.0,6.00,0.605800,0.038210,0.022420,0.008400,0.088600,1.000000,[]
0.00,1.00,20000.0,7.00,0.685800,0.045660,0.031290,0.009100,0.061500,1.000000,[]
0.00,1.00,20000.0,8.00,0.741100,0.058410,0.045980,0.006200,0.046400,1.000000,[]
0.00,1.00,20000.0,9.00,0.731600,0.080310,0.068840,-0.005800,0.038600,1.000000,[]
0.00,1.00,20000.0,10.00,0.707500,0.104640,0.092870,-0.020900,0.036500,1.000000,[]
0.00,1.00,20000.0,11.00,0.701100,0.124190,0.112250,-0.030300,0.032300,1.000000,[]
