mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.051780,0.017050,0.000000,1.000000,1.000000,[]
0.00,1.00,5000.0,1.00,0.052000,0.052090,0.017420,0.006700,1.000000,1.000000,[]
0.00,1.00,5000.0,2.00,0.106000,0.053050,0.018820,0.012600,1.000000,1.000000,[]
0.00,1.00,5000.0,3.00,0.183500,0.055110,0.021860,0.013500,0.954700,1.000000,[]
0.00,1.00,5000.0,4.00,0.277000,0.058450,0.026950,0.010900,0.873400,1.000000,[]
0.00,1.00,5000.0,5.00,0.377100,0.063110,0.034440,0.008000,0.703000,1.000000,[]
0.00,1.00,5000.0,6.00,0.489100,0.068200,0.041320,0.011300,0.353500,1.000000,[]
0.00,1.00,5000.0,7.00,0.557400,0.077810,0.050970,0.015000,0.215200,1.000000,[]
0.00,1.00,5000.0,8.00,0.589200,0.090100,0.063780,0.015000,0.164500,1.000000,[]
0.00,1.00,5000.0,9.00,0.597400,0.104550,0.078300,0.011500,0.138200,1.000000,[]
0.00,1.00,5000.0,10.00,0.608500,0.119950,0.093540,0.005400,0.120100,1.000000,[]
0.00,1.00,5000.0,11.00,0.621000,0.134790,0.108100,-0.001600,0.106500,1.000000,[]
0.00,1.00,5000.0,12.00,0.641200,0.148710,0.122220,-0.008400,0.095900,1.000000,[]
0.00,1.00,5000.0,13.00,0.665000,0.161920,0.135250,-0.015400,0.086300,1.000000,[]
0.00,1.00,5000.0,14.00,0.695000,0.175020,0.148230,-0.022300,0.080000,1.000000,[]
0.00,1.00,5000.0,15.00,0.721700,0.187390,0.160510,-0.030400,0.073600,1.000000,[]
0.00,1.00,10000.0,0.00,0.000600,0.037960,0.014620,0.000400,0.970200,0.972600,[]
0.00,1.00,10000.0,1.00,0.090800,0.038030,0.014110,-0.000100,0.919300,1.000000,[]
0.00,1.00,10000.0,2.00,0.175300,0.039070,0.015570,0.001400,0.870800,1.000000,[]
0.00,1.00,10000.0,3.00,0.265700,0.040720,0.018180,0.002300,0.813500,1.000000,[]
