mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,-0.000000,0.050350,0.016060,-0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.052200,0.050700,0.016480,0.005700,1.000000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.111400,0.051950,0.018160,0.009200,0.976700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.208300,0.054690,0.021770,0.005900,0.841500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.302500,0.058510,0.026850,0.004000,0.701200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.390100,0.063690,0.034370,0.003900,0.556800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.465600,0.070230,0.042250,0.005400,0.427400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.517900,0.078750,0.051700,0.007500,0.326000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.541900,0.089990,0.063330,0.007400,0.253900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.560300,0.102790,0.076390,0.005500,0.202500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.573200,0.116870,0.090560,0.001900,0.170000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.590100,0.131580,0.106210,-0.001900,0.146100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.603700,0.145770,0.120550,-0.006300,0.119400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.616300,0.161370,0.136050,-0.012300,0.108300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.633200,0.176950,0.151690,-0.017800,0.095500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.647600,0.191810,0.166380,-0.023700,0.078700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,-0.000000,0.036110,0.012560,0.000000,1.000000,1.000000,['poor_input_coordinate_distribution']
