mach,ncrit,reynolds,aoa,cl,cd,cdp,cm,top_xtr,bot_xtr,warnings
0.00,1.00,5000.0,0.00,0.000000,0.059640,0.031050,0.000000,0.978200,0.978200,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,1.00,0.071700,0.060270,0.031250,-0.002100,0.829400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,2.00,0.143600,0.062110,0.032490,-0.001500,0.687300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,3.00,0.202300,0.064900,0.034850,0.001900,0.568500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,4.00,0.251300,0.069590,0.039500,0.004400,0.528300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,5.00,0.295800,0.074170,0.043810,0.009400,0.434900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,6.00,0.348000,0.080400,0.049970,0.012100,0.397500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,7.00,0.361300,0.088960,0.058740,0.013900,0.376500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,8.00,0.381200,0.096240,0.066160,0.017200,0.310400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,9.00,0.405200,0.105920,0.075910,0.017600,0.289000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,10.00,0.405600,0.114780,0.084910,0.017800,0.235900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,11.00,0.430600,0.126190,0.096670,0.016500,0.218000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,12.00,0.458400,0.138280,0.108780,0.015300,0.194900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,13.00,0.463800,0.149740,0.120230,0.012300,0.163400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,14.00,0.476000,0.161060,0.131280,0.009200,0.135200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,5000.0,15.00,0.492500,0.173880,0.144080,0.005300,0.122700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,0.00,0.000000,0.042830,0.021200,-0.000000,0.732100,0.732100,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,1.00,0.139700,0.043280,0.022410,-0.005900,0.575500,0.887500,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,2.00,0.248300,0.044540,0.023510,-0.009000,0.519300,0.973200,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,3.00,0.326600,0.046540,0.025050,-0.006200,0.438000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,4.00,0.384400,0.049240,0.027420,-0.000000,0.386100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,5.00,0.417500,0.053970,0.032720,0.006100,0.356800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,6.00,0.453400,0.058170,0.036780,0.013900,0.298800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,7.00,0.442200,0.067110,0.046110,0.018700,0.270400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,8.00,0.441100,0.075770,0.054870,0.021700,0.217800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,9.00,0.469700,0.083980,0.063180,0.024300,0.199200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,10.00,0.462800,0.097120,0.076590,0.022600,0.182300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,11.00,0.466500,0.108060,0.087480,0.022000,0.143500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,12.00,0.458400,0.120860,0.100210,0.018700,0.105300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,13.00,0.464800,0.132460,0.111530,0.015700,0.075400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,14.00,0.477900,0.145740,0.124630,0.012200,0.069900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,10000.0,15.00,0.494400,0.159030,0.137860,0.008400,0.067200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,0.00,0.000000,0.034910,0.015830,-0.000000,0.588200,0.588200,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,1.00,0.155800,0.035370,0.017520,-0.007300,0.520300,0.762100,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,2.00,0.257700,0.036560,0.018250,-0.006400,0.445900,0.896800,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,3.00,0.356700,0.038130,0.019440,-0.006200,0.385000,0.954600,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,4.00,0.435300,0.040630,0.022390,-0.004100,0.349500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,5.00,0.484800,0.043280,0.024880,0.003900,0.292800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,6.00,0.520500,0.047660,0.029990,0.010900,0.259500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,7.00,0.539000,0.052420,0.035100,0.019600,0.213100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,8.00,0.552700,0.059110,0.042070,0.026300,0.195800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,9.00,0.525800,0.072570,0.055990,0.026900,0.180900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,10.00,0.514500,0.084080,0.067480,0.026900,0.142200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,11.00,0.480900,0.099320,0.082550,0.022700,0.085500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,12.00,0.484500,0.111290,0.094310,0.020900,0.067100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,13.00,0.486500,0.125490,0.108440,0.017600,0.062600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,14.00,0.493600,0.139720,0.122600,0.013800,0.059700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,15000.0,15.00,0.510400,0.151050,0.133810,0.010900,0.051200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,0.00,-0.000000,0.030510,0.013920,-0.000000,0.543900,0.543900,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,1.00,0.121000,0.030790,0.014110,-0.001500,0.485600,0.634800,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,2.00,0.262300,0.032010,0.014980,-0.006200,0.397500,0.823800,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,3.00,0.359800,0.033320,0.016640,-0.005300,0.367200,0.916100,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,4.00,0.443000,0.035140,0.018420,-0.002400,0.307800,0.970300,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,5.00,0.519700,0.037660,0.021270,0.000700,0.264900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,6.00,0.565500,0.040520,0.024310,0.008900,0.217200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,7.00,0.608000,0.044270,0.028350,0.016900,0.197000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,8.00,0.626400,0.050400,0.035420,0.024700,0.183400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,9.00,0.610700,0.057800,0.043110,0.032200,0.141700,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,10.00,0.553600,0.074120,0.059650,0.029100,0.083900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,11.00,0.545300,0.085670,0.070990,0.028200,0.065600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,12.00,0.526800,0.101610,0.086930,0.024400,0.060300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,13.00,0.516200,0.117720,0.103000,0.020200,0.056100,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,14.00,0.512900,0.132580,0.117620,0.015300,0.044900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,20000.0,15.00,0.508800,0.149260,0.134220,0.009100,0.034800,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,0.00,0.000000,0.027630,0.011830,0.000000,0.514000,0.514000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,1.00,0.104200,0.027920,0.011940,0.001400,0.447700,0.578600,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,2.00,0.235000,0.028760,0.012890,-0.001800,0.386700,0.725400,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,3.00,0.353700,0.030020,0.014590,-0.003500,0.346600,0.889700,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,4.00,0.448700,0.031640,0.016060,-0.002300,0.282700,0.932200,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,5.00,0.531100,0.033800,0.018400,0.000600,0.231000,0.991600,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,6.00,0.592900,0.036300,0.020970,0.006800,0.201000,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,7.00,0.644800,0.039640,0.025020,0.014100,0.187500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,8.00,0.664300,0.043880,0.029500,0.023900,0.141200,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,9.00,0.645600,0.050740,0.036170,0.033100,0.071500,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,10.00,0.624200,0.061230,0.047070,0.035200,0.063600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,11.00,0.598900,0.075270,0.061550,0.032600,0.059400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,12.00,0.576900,0.090620,0.077180,0.028800,0.055300,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,13.00,0.553000,0.107840,0.094390,0.023100,0.045900,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,14.00,0.521200,0.130200,0.116820,0.014500,0.033400,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,25000.0,15.00,0.520600,0.146350,0.132920,0.009200,0.031600,1.000000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,0.00,-0.000000,0.025640,0.010370,0.000000,0.490400,0.490400,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,1.00,0.095700,0.025970,0.010430,0.003000,0.415800,0.548200,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,2.00,0.204400,0.026440,0.011240,0.003500,0.379600,0.644000,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,3.00,0.353200,0.027560,0.012920,-0.003500,0.321300,0.839600,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,4.00,0.446900,0.029140,0.014420,-0.001300,0.260300,0.916400,['poor_input_coordinate_distribution']
0.00,1.00,30000.0,5.00,0.531100,0.031030,0.016230,0.001600,0.209200,0.963700,['poor_input_coordinate_distribution']
